version,testbed,n_windows,n_errors,eaurc averaged confidence,eaurc grid confidence,eaurc tile-phase,eaurc boundary indicator,eaurc control NDWI gradient,eaurc control NDWI level,eaurc control S2 patch variance,"eaurc boundary first, then confidence",eaurc U+ averaged confidence + tile-phase,eaurc U+ averaged confidence + NDWI level,prereg_passes
v1,bolivia,71373,5895,0.009405838605203925,0.010819141243845948,0.011276117153987672,0.0356250552132918,0.03356162335206491,0.011266391697527668,0.06134590193012106,0.017543369564642333,0.021716425753382645,0.01622187705636324,False
v1,test,149684,6680,0.010889805917348215,0.009890882428754523,0.013116827257409432,0.02015395517609988,0.027035287837342752,0.010628328760186876,0.031606550028078856,0.012879448211421366,0.014339952213682469,0.013364775250729573,False
v1_2,bolivia,71373,6199,0.01162524136632951,0.014924245273456985,0.013299754742021153,0.034716671090517216,0.038296174812886476,0.009714993709867878,0.06596590579135642,0.02189085025258124,0.026936676302779853,0.018765318690984766,False
v1_2,test,149684,6525,0.006378234184421032,0.006087197182066764,0.008072824096565316,0.01892199828273246,0.026259812986481206,0.01055363837496065,0.030080176390510346,0.011437903840474727,0.01289063717498302,0.012251787473870682,True
