scene,bandset,n_tokens,target_pair_cos,encoder_pair_cos,target_raw_top_share,target_centred_top_share,target_centred_effective_rank,encoder_raw_top_share,encoder_centred_top_share,encoder_centred_effective_rank,target_norm_cv
barotse,0,1024,0.9907662272453308,0.577253520488739,0.990863561630249,0.5545862317085266,4.5843305587768555,0.5797936320304871,0.1192115843296051,92.2719955444336,0.05520348623394966
barotse,1,1024,0.9841738939285278,0.5547873377799988,0.9831638932228088,0.5926149487495422,3.0841846466064453,0.5650613903999329,0.1825641691684723,63.2701530456543,0.09721367806196213
barotse,2,1024,0.9978432655334473,0.708124577999115,0.997787594795227,0.893013596534729,1.5774327516555786,0.7305456399917603,0.31862324476242065,28.01620101928711,0.039316482841968536
okavango_80,0,1024,0.9954450726509094,0.6110740900039673,0.9959077835083008,0.7036132216453552,3.2361080646514893,0.6219155788421631,0.14298905432224274,75.98625946044922,0.03875699266791344
okavango_80,1,1024,0.9955830574035645,0.5932193994522095,0.9963054060935974,0.7333623766899109,2.592217445373535,0.6083477139472961,0.1399703025817871,61.86406326293945,0.0878983587026596
okavango_80,2,1024,0.9991535544395447,0.7107109427452087,0.9991913437843323,0.9361682534217834,1.3714889287948608,0.7339348196983337,0.34106725454330444,25.201539993286133,0.026173369958996773
shire_80,0,1024,0.9782041311264038,0.6013482809066772,0.9787052273750305,0.7951075434684753,2.3441321849823,0.6046252846717834,0.17067748308181763,62.17387008666992,0.08548633754253387
shire_80,1,1024,0.983422040939331,0.5840767621994019,0.9862587451934814,0.8376739025115967,1.983026146888733,0.5979870557785034,0.18331322073936462,52.4093132019043,0.18241587281227112
shire_80,2,1024,0.9935757517814636,0.704413652420044,0.9938768148422241,0.9619613885879517,1.2162773609161377,0.7219448089599609,0.26107242703437805,29.077089309692383,0.07396484911441803
kazungula,0,1024,0.9853945374488831,0.5575047135353088,0.9875187873840332,0.8570208549499512,2.0204899311065674,0.5584133267402649,0.19610287249088287,55.31965637207031,0.1277289092540741
kazungula,1,1024,0.9829225540161133,0.5728497505187988,0.9892240166664124,0.9481366276741028,1.335292935371399,0.5776211619377136,0.21504861116409302,47.576786041259766,0.3070075511932373
kazungula,2,1024,0.9912467002868652,0.6968679428100586,0.9927259683609009,0.9675949811935425,1.1838914155960083,0.7195104956626892,0.3161228895187378,25.646520614624023,0.09814121574163437
