part,unit,n_windows,n_errors,confidence @0.05,confidence @0.1,confidence @0.2,"boundary, then confidence @0.05","boundary, then confidence @0.1","boundary, then confidence @0.2","NDWI-ambiguous, then boundary, then confidence @0.05","NDWI-ambiguous, then boundary, then confidence @0.1","NDWI-ambiguous, then boundary, then confidence @0.2","NDWI-ambiguous, then confidence @0.05","NDWI-ambiguous, then confidence @0.1","NDWI-ambiguous, then confidence @0.2"
B,0,159,13,0.3076923076923077,0.5384615384615384,0.9230769230769231,0.3076923076923077,0.5384615384615384,0.8461538461538461,0.23076923076923078,0.38461538461538464,0.8461538461538461,0.23076923076923078,0.38461538461538464,0.8461538461538461
B,1,202,5,0.2,0.6,0.8,0.2,0.6,1.0,0.6,0.6,1.0,0.6,0.6,0.8
B,3,225,15,0.4666666666666667,0.6666666666666666,0.9333333333333333,0.4666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.8,1.0,0.3333333333333333,0.8,0.9333333333333333
B,4,225,8,0.375,0.75,1.0,0.5,0.75,0.875,0.0,0.375,0.875,0.0,0.125,0.875
B,5,225,17,0.17647058823529413,0.47058823529411764,0.7058823529411765,0.17647058823529413,0.5882352941176471,0.7647058823529411,0.17647058823529413,0.35294117647058826,0.7647058823529411,0.17647058823529413,0.35294117647058826,0.7058823529411765
B,7,80,4,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.75,1.0
B,8,225,5,0.6,0.8,0.8,0.6,0.8,0.8,0.6,0.8,0.8,0.6,0.8,0.8
B,9,225,14,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.5714285714285714,1.0,0.07142857142857142,0.5,1.0,0.07142857142857142,0.42857142857142855,0.5
B,10,170,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
B,12,225,6,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
B,13,225,9,0.5555555555555556,1.0,1.0,0.5555555555555556,0.8888888888888888,1.0,0.7777777777777778,1.0,1.0,0.6666666666666666,1.0,1.0
B,14,182,37,0.10810810810810811,0.21621621621621623,0.5405405405405406,0.10810810810810811,0.24324324324324326,0.5135135135135135,0.13513513513513514,0.2702702702702703,0.43243243243243246,0.13513513513513514,0.2702702702702703,0.43243243243243246
B,15,203,21,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.09523809523809523,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.14285714285714285,0.3333333333333333
B,16,92,15,0.2,0.4,0.4666666666666667,0.2,0.4,0.4666666666666667,0.2,0.4,0.6666666666666666,0.2,0.4,0.6666666666666666
B,17,195,6,0.6666666666666666,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,0.16666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.6666666666666666,1.0
B,19,193,16,0.25,0.4375,0.875,0.25,0.5625,0.9375,0.375,0.625,1.0,0.375,0.625,0.9375
B,20,225,4,0.25,0.5,0.75,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.75
B,21,225,21,0.2857142857142857,0.6190476190476191,0.9523809523809523,0.2857142857142857,0.6190476190476191,1.0,0.23809523809523808,0.5238095238095238,1.0,0.23809523809523808,0.47619047619047616,1.0
B,22,225,63,0.12698412698412698,0.25396825396825395,0.49206349206349204,0.12698412698412698,0.19047619047619047,0.36507936507936506,0.1111111111111111,0.2857142857142857,0.5714285714285714,0.1111111111111111,0.2857142857142857,0.5714285714285714
B,23,225,65,0.09230769230769231,0.15384615384615385,0.27692307692307694,0.09230769230769231,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.5692307692307692,0.15384615384615385,0.3076923076923077,0.5692307692307692
B,24,225,45,0.08888888888888889,0.2,0.35555555555555557,0.08888888888888889,0.2222222222222222,0.4,0.13333333333333333,0.2,0.4666666666666667,0.13333333333333333,0.2,0.4666666666666667
B,25,225,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
B,26,224,6,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0
B,27,44,9,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333
B,28,56,14,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.5,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.42857142857142855
B,29,225,17,0.4117647058823529,0.5882352941176471,0.9411764705882353,0.29411764705882354,0.5294117647058824,0.9411764705882353,0.4117647058823529,0.7058823529411765,1.0,0.4117647058823529,0.7058823529411765,1.0
B,30,225,39,0.1794871794871795,0.3076923076923077,0.5641025641025641,0.1794871794871795,0.3076923076923077,0.48717948717948717,0.23076923076923078,0.46153846153846156,0.8717948717948718,0.23076923076923078,0.46153846153846156,0.8461538461538461
B,31,225,24,0.25,0.7083333333333334,1.0,0.25,0.4583333333333333,1.0,0.4583333333333333,0.75,1.0,0.4583333333333333,0.7916666666666666,1.0
B,33,217,20,0.25,0.5,1.0,0.2,0.55,0.85,0.35,0.5,0.95,0.35,0.5,1.0
B,34,153,13,0.3076923076923077,0.6923076923076923,1.0,0.46153846153846156,0.6923076923076923,0.8461538461538461,0.3076923076923077,0.7692307692307693,0.9230769230769231,0.3076923076923077,0.6923076923076923,1.0
B,35,148,17,0.11764705882352941,0.29411764705882354,0.5294117647058824,0.11764705882352941,0.29411764705882354,0.5294117647058824,0.058823529411764705,0.23529411764705882,0.7647058823529411,0.058823529411764705,0.23529411764705882,0.7647058823529411
B,37,225,13,0.23076923076923078,0.38461538461538464,0.6923076923076923,0.3076923076923077,0.5384615384615384,1.0,0.23076923076923078,0.46153846153846156,0.8461538461538461,0.23076923076923078,0.46153846153846156,0.8461538461538461
B,38,225,24,0.08333333333333333,0.3333333333333333,0.5416666666666666,0.08333333333333333,0.3333333333333333,0.5416666666666666,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.5833333333333334
B,39,36,8,0.0,0.125,0.375,0.0,0.125,0.5,0.0,0.0,0.375,0.0,0.0,0.375
B,41,52,9,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.7777777777777778
B,43,225,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B,44,181,23,0.17391304347826086,0.34782608695652173,0.6086956521739131,0.17391304347826086,0.34782608695652173,0.6086956521739131,0.17391304347826086,0.34782608695652173,0.6086956521739131,0.17391304347826086,0.34782608695652173,0.6086956521739131
B,45,42,16,0.0625,0.125,0.1875,0.0625,0.125,0.1875,0.0625,0.0625,0.1875,0.0625,0.0625,0.1875
B,46,31,18,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.2777777777777778
B,49,225,6,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B,50,225,11,0.36363636363636365,0.45454545454545453,0.8181818181818182,0.36363636363636365,0.6363636363636364,0.8181818181818182,0.2727272727272727,0.7272727272727273,0.9090909090909091,0.2727272727272727,0.7272727272727273,0.9090909090909091
B,51,225,23,0.21739130434782608,0.43478260869565216,0.8260869565217391,0.21739130434782608,0.43478260869565216,0.6956521739130435,0.21739130434782608,0.5217391304347826,0.9130434782608695,0.21739130434782608,0.5217391304347826,0.9130434782608695
