task,unit,n_windows,n_errors,signal,eaurc,capture@0.05,capture@0.1,capture@0.2
sen1floods11,chip0,256,8,confidence (OlmoEarth),0.0009235262853745082,0.625,1.0,1.0
sen1floods11,chip0,256,8,constant score,0.030695597090425165,0.05078125,0.1015625,0.19921875
sen1floods11,chip0,256,8,disagreement (selected partner),0.0194993838578565,0.3949203187250996,0.42729083665338646,0.4895418326693227
sen1floods11,chip0,256,8,weighted disagreement (selected partner),0.019483943654375557,0.3949203187250996,0.42729083665338646,0.4895418326693227
sen1floods11,chip0,256,8,accuracy-weighted vote (all outside partners),0.011875131990589215,0.6310728744939271,0.6508097165991903,0.6887651821862348
sen1floods11,chip0,256,8,"weighted disagreement (olmoearth_nano, same family)",0.019561757399395474,0.3925,0.425,0.4875
sen1floods11,chip0,256,8,"weighted disagreement (olmoearth_tiny, same family)",0.011780569650391495,0.6340361445783133,0.6536144578313253,0.6912650602409639
sen1floods11,chip0,256,8,"weighted disagreement (olmoearth_large, same family)",0.011749750990063462,0.6340361445783133,0.6536144578313253,0.6912650602409639
sen1floods11,chip0,256,8,weighted disagreement (galileo_base),0.019375620033730064,0.39732142857142855,0.4295634920634921,0.49156746031746035
sen1floods11,chip0,256,8,weighted disagreement (panopticon),0.015656124997999968,0.5120481927710844,0.5381526104417671,0.5883534136546185
sen1floods11,chip0,256,8,combination conf+weighted disagreement (U+),0.0007186105052863645,0.75,1.0,1.0
sen1floods11,chip1,256,3,confidence (OlmoEarth),0.00039622005591043814,0.6666666666666666,1.0,1.0
sen1floods11,chip1,256,3,constant score,0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip1,256,3,disagreement (selected partner),0.007766483808090165,0.3647058823529412,0.3986928104575163,0.4640522875816993
sen1floods11,chip1,256,3,weighted disagreement (selected partner),0.007766483808090165,0.3647058823529412,0.3986928104575163,0.4640522875816993
sen1floods11,chip1,256,3,accuracy-weighted vote (all outside partners),0.007766483808090165,0.3647058823529412,0.3986928104575163,0.4640522875816993
sen1floods11,chip1,256,3,"weighted disagreement (olmoearth_nano, same family)",0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip1,256,3,"weighted disagreement (olmoearth_tiny, same family)",0.011672733808090169,0.047058823529411764,0.09803921568627451,0.19607843137254902
sen1floods11,chip1,256,3,"weighted disagreement (olmoearth_large, same family)",0.007766483808090165,0.3647058823529412,0.3986928104575163,0.4640522875816993
sen1floods11,chip1,256,3,weighted disagreement (galileo_base),0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip1,256,3,weighted disagreement (panopticon),0.007766483808090165,0.3647058823529412,0.3986928104575163,0.4640522875816993
sen1floods11,chip1,256,3,combination conf+weighted disagreement (U+),0.0003809014284594577,0.6666666666666666,1.0,1.0
sen1floods11,chip2,256,9,confidence (OlmoEarth),0.015906084562941753,0.2222222222222222,0.4444444444444444,0.5555555555555556
sen1floods11,chip2,256,9,constant score,0.03446232351344765,0.05078125,0.1015625,0.19921875
sen1floods11,chip2,256,9,disagreement (selected partner),0.027404557413061522,0.24400000000000002,0.28444444444444444,0.3622222222222222
sen1floods11,chip2,256,9,weighted disagreement (selected partner),0.02746639912562457,0.24400000000000002,0.28444444444444444,0.3622222222222222
sen1floods11,chip2,256,9,accuracy-weighted vote (all outside partners),0.019998782180043754,0.45344129554655876,0.48268106162843005,0.5389113810166442
sen1floods11,chip2,256,9,"weighted disagreement (olmoearth_nano, same family)",0.02321918225691422,0.35714285714285715,0.3915343915343915,0.4576719576719576
sen1floods11,chip2,256,9,"weighted disagreement (olmoearth_tiny, same family)",0.01943663577375402,0.46215139442231074,0.49092518813634345,0.5462594068171758
sen1floods11,chip2,256,9,"weighted disagreement (olmoearth_large, same family)",0.03515439713359268,0.03187250996015936,0.08366533864541832,0.18326693227091634
sen1floods11,chip2,256,9,weighted disagreement (galileo_base),0.03138821187462856,0.136,0.18222222222222223,0.2711111111111111
sen1floods11,chip2,256,9,weighted disagreement (panopticon),0.031108638205021254,0.14285714285714285,0.18871252204585537,0.2768959435626102
sen1floods11,chip2,256,9,combination conf+weighted disagreement (U+),0.01577405092242098,0.2222222222222222,0.4444444444444444,0.5555555555555556
sen1floods11,chip4,256,11,confidence (OlmoEarth),0.007444746867707977,0.2727272727272727,0.6363636363636364,0.6363636363636364
sen1floods11,chip4,256,11,constant score,0.04194826773979608,0.05078125,0.1015625,0.19921875
sen1floods11,chip4,256,11,disagreement (selected partner),0.04262362458505271,0.03571428571428571,0.08730158730158731,0.18650793650793648
sen1floods11,chip4,256,11,weighted disagreement (selected partner),0.04262362458505271,0.03571428571428571,0.08730158730158731,0.18650793650793648
sen1floods11,chip4,256,11,accuracy-weighted vote (all outside partners),0.03887238450568764,0.11988409996378123,0.16696848967765304,0.2575153929735603
sen1floods11,chip4,256,11,"weighted disagreement (olmoearth_nano, same family)",0.03099824622584512,0.29590727997102495,0.3335747917421224,0.40601231437884827
sen1floods11,chip4,256,11,"weighted disagreement (olmoearth_tiny, same family)",0.023513815386972448,0.46554252199413493,0.4941348973607038,0.5491202346041055
sen1floods11,chip4,256,11,"weighted disagreement (olmoearth_large, same family)",0.042284619321444374,0.04330708661417323,0.09448818897637795,0.19291338582677164
sen1floods11,chip4,256,11,weighted disagreement (galileo_base),0.03868655592472468,0.12337662337662338,0.17027417027417027,0.26046176046176045
sen1floods11,chip4,256,11,weighted disagreement (panopticon),0.042284619321444374,0.04330708661417323,0.09448818897637795,0.19291338582677164
sen1floods11,chip4,256,11,combination conf+weighted disagreement (U+),0.007604324603776679,0.2727272727272727,0.6363636363636364,0.6363636363636364
sen1floods11,chip5,256,3,confidence (OlmoEarth),4.650346438763421e-05,1.0,1.0,1.0
sen1floods11,chip5,256,3,constant score,0.011626957440902665,0.05078125,0.1015625,0.19921875
sen1floods11,chip5,256,3,disagreement (selected partner),0.007843217667644484,0.35968379446640314,0.393939393939394,0.45981554677206854
sen1floods11,chip5,256,3,weighted disagreement (selected partner),0.00784319756445885,0.35968379446640314,0.393939393939394,0.45981554677206854
sen1floods11,chip5,256,3,accuracy-weighted vote (all outside partners),4.61372877790125e-05,1.0,1.0,1.0
sen1floods11,chip5,256,3,"weighted disagreement (olmoearth_nano, same family)",0.007904895671427202,0.35714285714285715,0.39153439153439157,0.4576719576719577
sen1floods11,chip5,256,3,"weighted disagreement (olmoearth_tiny, same family)",0.003983205948107044,0.6785714285714285,0.6957671957671958,0.728835978835979
sen1floods11,chip5,256,3,"weighted disagreement (olmoearth_large, same family)",0.007920885865783146,0.35200000000000004,0.38666666666666666,0.4533333333333333
sen1floods11,chip5,256,3,weighted disagreement (galileo_base),0.003921689723320158,0.6785714285714285,0.6957671957671958,0.728835978835979
sen1floods11,chip5,256,3,weighted disagreement (panopticon),0.003983572124715668,0.676,0.6933333333333334,0.7266666666666667
sen1floods11,chip5,256,3,combination conf+weighted disagreement (U+),7.732212471566632e-05,1.0,1.0,1.0
sen1floods11,chip7,256,4,confidence (OlmoEarth),4.63196523915242e-05,1.0,1.0,1.0
sen1floods11,chip7,256,4,constant score,0.015471811364061153,0.05078125,0.1015625,0.19921875
sen1floods11,chip7,256,4,disagreement (selected partner),0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,weighted disagreement (selected partner),0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,accuracy-weighted vote (all outside partners),0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,"weighted disagreement (olmoearth_nano, same family)",0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,"weighted disagreement (olmoearth_tiny, same family)",0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,"weighted disagreement (olmoearth_large, same family)",0.003921689723320158,0.7589285714285714,0.7718253968253969,0.7966269841269842
sen1floods11,chip7,256,4,weighted disagreement (galileo_base),0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,weighted disagreement (panopticon),0.0,1.0,1.0,1.0
sen1floods11,chip7,256,4,combination conf+weighted disagreement (U+),0.0,1.0,1.0,1.0
sen1floods11,chip8,256,13,confidence (OlmoEarth),0.001266295106536372,0.6153846153846154,0.9230769230769231,1.0
sen1floods11,chip8,256,13,constant score,0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip8,256,13,disagreement (selected partner),0.03838053817005961,0.25824175824175827,0.2979242979242979,0.3742368742368743
sen1floods11,chip8,256,13,weighted disagreement (selected partner),0.038403576539981825,0.25824175824175827,0.2979242979242979,0.3742368742368743
sen1floods11,chip8,256,13,accuracy-weighted vote (all outside partners),0.02732497251513232,0.4702584864528184,0.4985985674244784,0.553098723139209
sen1floods11,chip8,256,13,"weighted disagreement (olmoearth_nano, same family)",0.042139989583460075,0.18729096989966557,0.23076923076923078,0.31438127090301005
sen1floods11,chip8,256,13,"weighted disagreement (olmoearth_tiny, same family)",0.042109292019001224,0.18729096989966557,0.23076923076923078,0.31438127090301005
sen1floods11,chip8,256,13,"weighted disagreement (olmoearth_large, same family)",0.034637017833165765,0.32975789151087953,0.36561446521605884,0.43456941464909593
sen1floods11,chip8,256,13,weighted disagreement (galileo_base),0.042124670956009094,0.18729096989966557,0.23076923076923078,0.31438127090301005
sen1floods11,chip8,256,13,weighted disagreement (panopticon),0.031136653209684718,0.39702233250620345,0.42928039702233256,0.4913151364764268
sen1floods11,chip8,256,13,combination conf+weighted disagreement (U+),0.00115677804019736,0.6153846153846154,0.9230769230769231,1.0
sen1floods11,chip10,256,7,confidence (OlmoEarth),0.0004295945398004299,0.8571428571428571,1.0,1.0
sen1floods11,chip10,256,7,constant score,0.02691311965933817,0.05078125,0.1015625,0.19921875
sen1floods11,chip10,256,7,disagreement (selected partner),0.023514269213736966,0.17017643710870803,0.21457029026750143,0.29994308480364257
sen1floods11,chip10,256,7,weighted disagreement (selected partner),0.023483510861830693,0.17017643710870803,0.21457029026750143,0.29994308480364257
sen1floods11,chip10,256,7,accuracy-weighted vote (all outside partners),0.01581219320947117,0.4400921658986175,0.4700460829493088,0.5276497695852534
sen1floods11,chip10,256,7,"weighted disagreement (olmoearth_nano, same family)",0.015531746525801554,0.4489795918367347,0.47845804988662133,0.5351473922902494
sen1floods11,chip10,256,7,"weighted disagreement (olmoearth_tiny, same family)",0.023297866569528793,0.17673630717108976,0.22077922077922077,0.3054771315640881
sen1floods11,chip10,256,7,"weighted disagreement (olmoearth_large, same family)",0.01570232114246299,0.44457142857142856,0.47428571428571425,0.5314285714285714
sen1floods11,chip10,256,7,weighted disagreement (galileo_base),0.015562565186129588,0.4489795918367347,0.47845804988662133,0.5351473922902494
sen1floods11,chip10,256,7,weighted disagreement (panopticon),0.02691311965933817,0.05078125,0.1015625,0.19921875
sen1floods11,chip10,256,7,combination conf+weighted disagreement (U+),0.0006979875762745464,0.7142857142857143,1.0,1.0
sen1floods11,chip13,256,13,confidence (OlmoEarth),0.0009257259845818519,0.6153846153846154,0.9230769230769231,1.0
sen1floods11,chip13,256,13,constant score,0.049370435924690356,0.05078125,0.1015625,0.19921875
sen1floods11,chip13,256,13,disagreement (selected partner),0.04566255018250287,0.12036199095022625,0.16742081447963802,0.2579185520361991
sen1floods11,chip13,256,13,weighted disagreement (selected partner),0.04566255018250287,0.12036199095022625,0.16742081447963802,0.2579185520361991
sen1floods11,chip13,256,13,accuracy-weighted vote (all outside partners),0.04566255018250287,0.12036199095022625,0.16742081447963802,0.2579185520361991
