arm,split,window_acc,frozen_window_acc,pixel_acc_shift0,eaurc averaged confidence,eaurc tile-phase,eaurc control NDWI level,share_frozen_errors_corrected,phi_vs_frozen
FT-S2 v1,bolivia,0.9539601810208342,0.9174057416670169,0.9492986543056032,0.003972172701764588,0.00584806600965432,0.006308411689589398,0.6583545377438508,0.4232285878086222
FT-S2 v1,test,0.9674113465701077,0.9553726517196227,0.9655932665328328,0.009153314608985556,0.011308202885212561,0.008632834222201072,0.4410179640718563,0.6407457927739507
FT-S1 v1,bolivia,0.880248833592535,0.9174057416670169,0.8754241347879537,0.019236316200152356,0.030071477362258087,0.02711638132774521,0.6105173876166242,0.2492775555273232
FT-S1 v1,test,0.9104580315865423,0.9553726517196227,0.9061110559231318,0.03471007022374773,0.04136091711542111,0.015780108775968478,0.3372754491017964,0.43387421313392815
FT-S1+S2 v1,bolivia,0.9549129222535132,0.9174057416670169,0.9499893417153038,0.004082368180414363,0.005619854477193601,0.00605734864068277,0.6720949957591179,0.40897165272546193
FT-S1+S2 v1,test,0.9677921487934582,0.9553726517196227,0.9668173480441441,0.008032206269564694,0.010002251037856015,0.00843036296496472,0.45718562874251495,0.6250698793303797
FT-S2 v1_2,bolivia,0.9529093634847912,0.9174057416670169,0.9491466113912996,0.003978394903180851,0.005443534939565007,0.006051611406683904,0.6351145038167939,0.45014040001996547
FT-S2 v1_2,test,0.9659415836027899,0.9553726517196227,0.965614735263263,0.006101842901421387,0.008665123651995682,0.00852469944266655,0.43862275449101795,0.6283473109169607
