arm,signal,n,n_errors,error_rate_naive,error_rate_weighted,excess_aurc_naive,excess_aurc_weighted,capture_05_naive,capture_10_naive,capture_20_naive,capture_05_weighted,capture_10_weighted,capture_20_weighted
field_report,margin,4778,1902,0.3980745081624111,0.41523500586962153,0.14321969097169068,0.146773622510799,0.08675078864353312,0.16824395373291273,0.31650893796004204,0.08276907124384353,0.16456507248020943,0.3021606632790674
field_report,one_minus_top1,4778,1902,0.3980745081624111,0.41523500586962153,0.14889138016313708,0.1651160982556339,0.08990536277602523,0.17034700315457413,0.3249211356466877,0.09133220943530901,0.16814252268541996,0.3167163815110509
field_report,entropy,4778,1902,0.3980745081624111,0.41523500586962153,0.17290438264659502,0.21017603024479187,0.083596214511041,0.1661409043112513,0.3207150368033649,0.08289205594692642,0.16109023147358897,0.31766315699635833
field_report,boundary_first,4778,1902,0.3980745081624111,0.41523500586962153,0.14818728383523838,0.14658520655411317,0.08832807570977919,0.17087276550998948,0.32018927444794953,0.08312343185728835,0.16553730785513696,0.3074282475327116
field_report,boundary_only,4778,1902,0.3980745081624111,0.41523500586962153,0.1816127461106366,0.1758099572838751,0.09362044126979714,0.17670913522281725,0.3237485328830539,0.09527973905296157,0.17893660724167038,0.3286055450245426
field_report,ctl_pixel_variance,4778,1902,0.3980745081624111,0.41523500586962153,0.26009271863809574,0.2420731212156022,0.04574132492113565,0.10147213459516298,0.222397476340694,0.07376578744873426,0.14865025769517062,0.2836203382929985
field_report,ctl_class_rarity,4778,1902,0.3980745081624111,0.41523500586962153,0.30838409411754414,0.44691140531990753,0.03709879325021281,0.07464426079412106,0.15326916846061953,0.10092487737674756,0.15484763104133087,0.22943241660172645
field_report,ctl_polygon_area,4778,1902,0.3980745081624111,0.41523500586962153,0.22005105546739384,0.2089452438020864,0.06046267087276551,0.12670872765509988,0.2513144058885384,0.07220137276212535,0.15002258111132658,0.31398594233250054
field_report,ctl_window_impurity,4778,1902,0.3980745081624111,0.41523500586962153,0.22452100734226038,0.22051104079907557,0.057308096740273394,0.12171572621360574,0.25504365050253097,0.0667428517205823,0.1517227858629774,0.3083085702610353
purity_0.00,margin,1817,918,0.5052283984589984,0.6387788535291429,0.17498660665237428,0.2538678992140913,0.07407407407407407,0.1394335511982571,0.2657952069716776,0.05643857398025859,0.11299753699684195,0.2196995236993254
purity_0.00,one_minus_top1,1817,918,0.5052283984589984,0.6387788535291429,0.17264804204564635,0.25100297346563044,0.06971677559912855,0.14161220043572983,0.2766884531590414,0.05088563093494981,0.11364953764251824,0.2314748140197719
purity_0.00,entropy,1817,918,0.5052283984589984,0.6387788535291429,0.18171442355382952,0.26033374017921046,0.06753812636165578,0.14270152505446623,0.27450980392156865,0.047214482870673175,0.11471211499826826,0.23591061712099112
purity_0.00,boundary_first,1817,918,0.5052283984589984,0.6387788535291429,0.20769371216686408,0.2597776670942343,0.07407407407407407,0.1394335511982571,0.2625272331154684,0.05643857398025893,0.11299753699684263,0.21969952369932677
purity_0.00,boundary_only,1817,918,0.5052283984589984,0.6387788535291429,0.25945820069553194,0.25846142275635325,0.07624427893465742,0.15155123203458817,0.28013549407586474,0.06819653994551234,0.13352830798116963,0.25443148311521013
purity_0.00,ctl_pixel_variance,1817,918,0.5052283984589984,0.6387788535291429,0.38505926767343424,0.324791313118541,0.030501089324618737,0.06862745098039216,0.16339869281045752,0.05033411230473318,0.10390556986781671,0.22064013177502806
purity_0.00,ctl_class_rarity,1817,918,0.5052283984589984,0.6387788535291429,0.30018358017035385,0.41239002379821693,0.05664488017429194,0.12142886504706703,0.2262872628726287,0.06792663485301116,0.09834299616443158,0.1709695392018731
purity_0.00,ctl_polygon_area,1817,918,0.5052283984589984,0.6387788535291429,0.34800118841695826,0.3511848657405254,0.05010893246187364,0.09259259259259259,0.19498910675381265,0.04505024605080035,0.08960845501650457,0.18795079619283833
purity_0.00,ctl_window_impurity,1817,918,0.5052283984589984,0.6387788535291429,0.34867254182125074,0.36627284017741285,0.0401101723435535,0.08769063180827887,0.1864639575637018,0.028532021027632765,0.07391979210481134,0.173111541525151
purity_0.25,margin,483,217,0.4492753623188406,0.5105675710220602,0.18301081486755194,0.2258968000830739,0.059907834101382486,0.1336405529953917,0.2764976958525346,0.048690514365259646,0.11983533224754399,0.26219499963891807
