part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,,,,,,,,,,,,,,
A,barotse,1024,98,kNN-5 cosine [R1 train],0.02906946860763344,0.024289698628297964,0.30915367508714553,0.039415938597695835,-0.016231284687838052,-0.021155562343263715,0.010177431035250841,0.41995747577068876,0.4630824310671625,0.360156574100565,0.23909155729203918,,,,,,,,,,
A,barotse,1024,98,Mahalanobis [R1 train],0.10826581380848849,0.10348604382915301,20137.362455011542,-0.03978040660315921,-0.0954276298886931,-0.10035190754411875,-0.06901891416560421,0.026348392461197336,0.017335546902939702,0.07191204804734996,0.02049542682926829,,,,,,,,,,
A,barotse,1024,98,PCA residual [R1 train],0.10369522759202199,0.09891545761268651,5.949266834755658,-0.03520982038669271,-0.0908570436722266,-0.09578132132765226,-0.06444832794913771,0.01296094923467563,0.0177289155818611,0.07863012749445676,0.04872027215506758,,,,,,,,,,
A,barotse,1024,98,Mahalanobis class-cond. [R1 train],0.10650725660844818,0.1017274866291127,16754.518090590078,-0.038021849403118896,-0.0936690726886528,-0.09859335034407844,-0.0672603569655639,0.02541289294399542,0.01867632858879908,0.07326055226736285,0.026197451004935268,,,,,,,,,,
A,barotse,1024,98,ViM [R1 train],0.18147023420230005,0.17669046422296458,39.62584315322085,-0.11298482699697078,-0.16863205028250466,-0.17355632793793033,-0.14222333455941577,0.02762399640583649,-0.04371609237536656,-0.009318628853443959,-0.026132072097847073,,,,,,,,,,
A,barotse,1024,98,kNN-5 cosine [R2 scene],0.04541584705502105,0.040636077075685575,0.11329188101444743,0.023069560150308227,-0.032577663135225664,-0.03750194079065133,-0.00616894741213677,0.08090610694871611,0.22557639609112365,0.16730439972105,0.5962962122702238,,,,,,,,,,
A,barotse,1024,98,Mahalanobis [R2 scene],0.06230469435243774,0.05752492437310226,1138.544395020424,0.00618071285289154,-0.04946651043264235,-0.054390788088068014,-0.023057794709553457,-0.1393001662971175,0.03263452408625992,0.04756022682569201,0.488254539643087,,,,,,,,,,
A,barotse,1024,98,PCA residual [R2 scene],0.06192505129778443,0.057145281318448954,1.7271503074859795,0.006560355907544849,-0.04908686737798904,-0.054011145033414705,-0.02267815165490015,-0.12857408044846574,0.03749967589943494,0.051363144624848006,0.46693249991059294,,,,,,,,,,
A,barotse,1024,98,kNN-5 cosine [R3 pool],0.048977027896304634,0.04419725791696916,0.3080406354565639,0.019508379309024645,-0.036138843976509245,-0.04106312163193491,-0.009730128253420352,0.2208528762248766,0.24777247916815678,0.11402052338888491,-0.028981843662828122,,,,,,,,,,
A,barotse,1024,98,Mahalanobis [R3 pool],0.11985677146041585,0.11507700148108037,3787.292667749255,-0.051371364255086566,-0.10701858754062046,-0.11194286519604611,-0.08060987181753157,-0.10667772333881695,-0.13263265771404045,-0.15763725100135897,-0.3619158366711966,,,,,,,,,,
A,barotse,1024,98,PCA residual [R3 pool],0.12110858133306941,0.11632881135373394,5.727006952056196,-0.05262317412774013,-0.10827039741327402,-0.11319467506869968,-0.08186168169018512,-0.12210688836635435,-0.140850562817395,-0.1488176587869251,-0.34647423288749013,,,,,,,,,,
A,barotse,1024,98,diagnostic feature norm,0.17874171175581138,0.17396194177647592,11.98941138227087,-0.11025630455048212,-0.165903527836016,-0.17082780549144166,-0.1394948121129271,-0.30465711277805596,-0.31074048038409263,-0.1698213758851298,-0.058199565481725196,,,,,,,,,,
A,barotse,1024,98,combination conf+typicality (prereg),0.027188696097267352,0.022408926117931875,0.5,0.04129671110806193,-0.014350512177471964,-0.019274789832897626,0.01205820354561693,,,,,,,,,,,,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.0023018940301927785,-11.007868766784668,0.0,-0.001014806102845183,0.0009136822816946458,0.005746448130515675,,,,,,,,,,,,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.0012870879273475955,0.044724094290610236,0.001014806102845183,0.0,0.0019284883845398287,0.006761254233360858,,,,,,,,,,,,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.0032155763118874242,0.089111328125,-0.0009136822816946458,-0.0019284883845398287,0.0,0.004832765848821029,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.008048342160708453,0.027005727284564577,-0.005746448130515675,-0.006761254233360858,-0.004832765848821029,0.0,,,,,,,,,,,,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0466646078509389,0.0,-0.04436271382074612,-0.045377519923591306,-0.043449031539051476,-0.038616265690230446,,,,,,,,,,,,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.012382725756712017,81.56912360161513,-0.010080831726519239,-0.011095637829364421,-0.009167149444824593,-0.004334383596003563,,,,,,,,,,,,,,
