ranker,pooled_excess_aurc,lead_over_margin,tiles_w,tiles_l,sign_p,tied_values,capture 0.05,capture 0.1,capture 0.2
margin,0.06369237229100383,0.0,,,,156842,0.12143260715604967,0.2356441937982533,0.44368625718150534
1 - top-1 probability,0.06512223302865647,0.0014298607376526384,238,167,0.0002448227261319995,1017570,0.1284326918626635,0.24227226801521926,0.4458536985789374
entropy,0.06920001857704827,0.005507646286044443,289,117,6.753660357831726e-18,0,0.12252855355160859,0.22992606073202232,0.4225899440150411
boundary indicator,0.13195935544301207,0.06826698315200824,349,57,2.7894829670773066e-52,4348517,0.12822502161935326,0.24045606062105668,0.42840889617712474
control class rarity,0.11199193710646949,0.048299564815465656,315,91,2.6631476718027522e-30,4345800,0.11537851693065647,0.2172645720847258,0.3852999525674499
"boundary first, then margin",0.09663495021523624,0.032942577924232413,238,168,0.0005990785817981222,163884,0.12002228569881647,0.23220091360885978,0.4315085898619282
