version,testbed,n_windows,n_errors,eaurc averaged confidence,eaurc tile-phase,eaurc control NDWI level,eaurc ensemble mutual information,eaurc ensemble average entropy,eaurc ensemble predictive entropy,eaurc embedding normalized distance,eaurc embedding NCDD,eaurc embedding NCDD raw,eaurc input extremity max,eaurc input extremity mean,eaurc fusion linear (labelled),eaurc fusion poly2 (labelled),tile_aurc averaged confidence,tile_aurc tile-phase,tile_aurc control NDWI level,tile_aurc ensemble mutual information,tile_aurc ensemble average entropy,tile_aurc ensemble predictive entropy,tile_aurc embedding normalized distance,tile_aurc embedding NCDD,tile_aurc input extremity max,tile_aurc input extremity mean,tile_aurc embedding NCDD raw,tile_aurc fusion linear (labelled),tile_aurc fusion poly2 (labelled),prereg_passes
v1,bolivia,71373,5895,0.009405838605203925,0.011276117153987672,0.011266391697527668,0.012012990267552003,0.00792896099990362,0.007571191663356776,0.06571512298531068,0.0859088585811849,0.07002824339370353,0.04841589241744653,0.036446223782661984,0.006676489366875053,0.008217169734968967,0.16704497346269234,0.18780630149174557,0.2269014857543739,0.22643454268332572,0.16323185291887307,0.1627821107829248,0.3298163832738536,0.2808108176963646,0.35064830580906414,0.4102973514391114,0.20960777882252396,0.17493656221304882,0.16145917682973998,True
v1,test,149684,6680,0.010889805917348215,0.013116827257409432,0.010628328760186876,0.010679378581520866,0.010822201325598876,0.010696482189475186,0.03465803628504975,0.040741382239687075,0.02945624304482434,0.03485071774276376,0.03283303318594009,0.006779501437070288,0.010160775843524124,0.11978388960967852,0.12940441724322402,0.19230198744894436,0.1173124766890699,0.11959023654091049,0.1177135732622895,0.2145771459378438,0.20879680641693188,0.2995544257523861,0.32823225517582716,0.13922072667198096,0.13784431645351616,0.1476361740694695,False
v1_2,bolivia,71373,6199,0.01162524136632951,0.013299754742021153,0.009714993709867878,0.01758603524181561,0.011702006537050863,0.011529900590191124,0.07677861993394541,0.08880620879376702,0.06550668939314491,0.05378749848688364,0.04179449426214301,0.008871608557905041,0.010100794350315634,0.14008640872291733,0.15740311773097995,0.2031109449304716,0.17181848427971952,0.13737473870221809,0.1368481236124015,0.4332200013301269,0.4633849073455195,0.3575357608398105,0.4138371103938668,0.20490821618672156,0.14633322296565293,0.13666696109211016,True
v1_2,test,149684,6525,0.006378234184421032,0.008072824096565316,0.01055363837496065,0.008569669934142798,0.006636263102945795,0.006582478039104165,0.03432292644548619,0.04125264269143891,0.03390379860316983,0.0339137072407095,0.0318615480080326,0.00595661768489384,0.00836744199817436,0.13429217703554258,0.14251968043411123,0.22776258943048197,0.14207237366680098,0.13613011309888964,0.13517562445300577,0.26876377056248413,0.2844482093605692,0.31922332530322683,0.3575649365569268,0.16439902713485544,0.16291826650384691,0.16959482714030197,True
