version,testbed,dropped,pooled_eaurc,cost_vs_full
v1,bolivia,averaged confidence,0.006483068728593469,-0.00019342014702158385
v1,bolivia,tile-phase,0.006658086671487966,-1.8402204127087457e-05
v1,bolivia,control NDWI level,0.0076376497907118595,0.0009611609150968065
v1,bolivia,ensemble mutual information,0.006702584745530722,2.6095869915669298e-05
v1,bolivia,ensemble average entropy,0.006717436126878269,4.094725126321634e-05
v1,bolivia,ensemble predictive entropy,0.006711175443302574,3.468656768752104e-05
v1,bolivia,embedding normalized distance,0.006682175202274015,5.686326658961571e-06
v1,bolivia,embedding NCDD,0.006749043568900826,7.255469328577326e-05
v1,bolivia,input extremity max,0.006564875136516406,-0.00011161373909864686
v1,bolivia,input extremity mean,0.006505018321808018,-0.0001714705538070349
v1,test,averaged confidence,0.006807595374176898,2.809408181172514e-05
v1,test,tile-phase,0.006785364358121347,5.863065756173992e-06
v1,test,control NDWI level,0.0071441430447328385,0.0003646417523676653
v1,test,ensemble mutual information,0.00657864555114725,-0.00020085574121792276
v1,test,ensemble average entropy,0.00679198861845676,1.2487326091587155e-05
v1,test,ensemble predictive entropy,0.006789189268608796,9.68797624362281e-06
v1,test,embedding normalized distance,0.006687443871611959,-9.205742075321394e-05
v1,test,embedding NCDD,0.0065228146606502455,-0.00025668663171492766
v1,test,input extremity max,0.0068725182153907055,9.301692302553233e-05
v1,test,input extremity mean,0.005778441794798688,-0.0010010594975664849
v1_2,bolivia,averaged confidence,0.00894682676729791,7.521804375005062e-05
v1_2,bolivia,tile-phase,0.008700514375052832,-0.00017109434849502808
v1_2,bolivia,control NDWI level,0.01159308347227395,0.0027214747487260896
v1_2,bolivia,ensemble mutual information,0.00881283587238546,-5.877285116239958e-05
v1_2,bolivia,ensemble average entropy,0.008783161791809633,-8.844693173822721e-05
v1_2,bolivia,ensemble predictive entropy,0.008797243557208432,-7.436516633942819e-05
v1_2,bolivia,embedding normalized distance,0.00884416435004879,-2.7444373499069946e-05
v1_2,bolivia,embedding NCDD,0.008829499849659545,-4.210887388831491e-05
v1_2,bolivia,input extremity max,0.00862755704815649,-0.0002440516753913699
v1_2,bolivia,input extremity mean,0.008564806010383105,-0.0003068027131647548
v1_2,test,averaged confidence,0.005985577706744421,2.895965936239569e-05
v1_2,test,tile-phase,0.006025457813884002,6.88397665019767e-05
v1_2,test,control NDWI level,0.0050413277234535045,-0.0009152903239285212
v1_2,test,ensemble mutual information,0.005730037245435128,-0.00022658080194689744
v1_2,test,ensemble average entropy,0.005993602661505337,3.6984614123311554e-05
v1_2,test,ensemble predictive entropy,0.005986293272277005,2.9675224894979216e-05
v1_2,test,embedding normalized distance,0.006401183363454304,0.00044456531607227866
v1_2,test,embedding NCDD,0.005971166739866892,1.4548692484865969e-05
v1_2,test,input extremity max,0.005939317474976534,-1.7300572405491536e-05
v1_2,test,input extremity mean,0.004997566742205845,-0.000959051305176181
