part,unit,n_patches,n_errors,signal,aurc,capture@0.05,capture_stable@0.05,gain_vs_confidence@0.05,capture@0.1,capture_stable@0.1,gain_vs_confidence@0.1,capture@0.2,capture_stable@0.2,gain_vs_confidence@0.2,W/L@0.05,W/L@0.1,W/L@0.2
AWF,crop16,344,41,confidence (baseline),0.026245766217610895,0.21951219512195122,0.21951219512195122,0.0,0.3902439024390244,0.3902439024390244,0.0,0.6341463414634146,0.6341463414634146,0.0,,,
AWF,crop16,344,41,boundary indicator,0.07651147030374644,0.1902439024390244,0.21951219512195122,-0.029268292682926828,0.3153310104529617,0.2926829268292683,-0.07491289198606271,0.43205574912891986,0.4146341463414634,-0.20209059233449478,,,
AWF,crop16,344,41,tile-phase (aligned),0.023461518454870354,0.17073170731707318,0.17073170731707318,-0.04878048780487804,0.36585365853658536,0.36585365853658536,-0.024390243902439046,0.7073170731707317,0.7073170731707317,0.07317073170731703,,,
AWF,crop16,344,41,probe disagreement,0.08519418416394625,0.13555347091932457,0.0975609756097561,-0.08395872420262665,0.27110694183864914,0.21951219512195122,-0.11913696060037526,0.4487136652188439,0.43902439024390244,-0.18543267624457072,,,
AWF,crop16,344,41,control NDVI temporal std,0.09373753034752208,0.07317073170731707,0.07317073170731707,-0.14634146341463417,0.12195121951219512,0.12195121951219512,-0.2682926829268293,0.2926829268292683,0.2926829268292683,-0.34146341463414637,,,
AWF,crop32,344,42,confidence (baseline),0.02764128836475447,0.21428571428571427,0.21428571428571427,0.0,0.42857142857142855,0.42857142857142855,0.0,0.6904761904761905,0.6904761904761905,0.0,,,
AWF,crop32,344,42,boundary indicator,0.07999607625455893,0.15476190476190477,0.14285714285714285,-0.05952380952380951,0.30112044817927175,0.30952380952380953,-0.1274509803921568,0.4123809523809524,0.38095238095238093,-0.27809523809523806,,,
AWF,crop32,344,42,tile-phase (aligned),0.02857288971204627,0.16666666666666666,0.16666666666666666,-0.047619047619047616,0.30952380952380953,0.30952380952380953,-0.11904761904761901,0.6428571428571429,0.6428571428571429,-0.04761904761904756,,,
AWF,crop32,344,42,probe disagreement,0.0857538422871701,0.13746630727762804,0.16666666666666666,-0.07681940700808623,0.2749326145552561,0.23809523809523808,-0.15363881401617246,0.45999018163966615,0.4523809523809524,-0.23048600883652431,,,
AWF,crop32,344,42,control NDVI temporal std,0.10272007772103138,0.023809523809523808,0.023809523809523808,-0.19047619047619047,0.09523809523809523,0.09523809523809523,-0.3333333333333333,0.2619047619047619,0.2619047619047619,-0.42857142857142855,,,
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.22448979591836735,,0.0,0.336734693877551,,0.0,0.5612244897959183,,0.0,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.3469387755102041,,0.12244897959183673,0.5612244897959183,,0.22448979591836732,0.8061224489795918,,0.24489795918367352,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.43265306122448977,,0.20816326530612242,0.6821892393320965,,0.3454545454545455,0.952474140341068,,0.3912496505451497,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.3673469387755102,,0.14285714285714288,0.4387755102040816,,0.10204081632653061,0.5918367346938775,,0.030612244897959218,,,
A,barotse,1024,98,constant score,0.095703125,0.0498046875,,-0.17468510841836735,0.099609375,,-0.237125318877551,0.2001953125,,-0.3610291772959183,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.30612244897959184,,0.0816326530612245,0.40816326530612246,,0.07142857142857145,0.5102040816326531,,-0.05102040816326525,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.11224489795918367,,-0.11224489795918367,0.12244897959183673,,-0.21428571428571427,0.16326530612244897,,-0.3979591836734694,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.46938775510204084,,0.0,0.6938775510204082,,0.0,0.9795918367346939,,0.0,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.6326530612244898,,0.163265306122449,0.8571428571428571,,0.16326530612244894,0.9795918367346939,,0.0,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.8021295474711623,,0.33274179236912144,0.8846495119787046,,0.1907719609582964,0.9354359925788497,,-0.04415584415584417,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.5714285714285714,,0.10204081632653056,0.8571428571428571,,0.16326530612244894,0.9387755102040817,,-0.04081632653061218,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0498046875,,-0.41958306760204084,0.099609375,,-0.5942681760204082,0.2001953125,,-0.7793965242346939,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.24489795918367346,,-0.22448979591836737,0.46938775510204084,,-0.22448979591836732,0.7959183673469388,,-0.18367346938775508,,,
A,cuando_20,1024,49,control NDWI level,0.0145981085701191,0.3469387755102041,,-0.12244897959183676,0.42857142857142855,,-0.2653061224489796,0.5714285714285714,,-0.40816326530612246,,,
A,cuando_50,1024,168,confidence (baseline),0.053649177945038526,0.19642857142857142,,0.0,0.2857142857142857,,0.0,0.5178571428571429,,0.0,,,
A,cuando_50,1024,168,tile-phase (aligned),0.027686350259281824,0.21428571428571427,,0.01785714285714285,0.36904761904761907,,0.08333333333333337,0.7380952380952381,,0.22023809523809523,,,
A,cuando_50,1024,168,boundary indicator,0.029078780871610522,0.23452380952380952,,0.0380952380952381,0.4828767123287671,,0.1971624266144814,0.7608745421245422,,0.2430173992673993,,,
A,cuando_50,1024,168,control NDWI gradient,0.03158526610926906,0.30357142857142855,,0.10714285714285712,0.5357142857142857,,0.25,0.8214285714285714,,0.3035714285714285,,,
A,cuando_50,1024,168,constant score,0.1640625,0.0498046875,,-0.14662388392857142,0.099609375,,-0.1861049107142857,0.2001953125,,-0.3176618303571429,,,
A,cuando_50,1024,168,control S2 patch variance,0.04123510932147027,0.23809523809523808,,0.04166666666666666,0.44047619047619047,,0.15476190476190477,0.7916666666666666,,0.2738095238095237,,,
A,cuando_50,1024,168,control NDWI level,0.03327961197869088,0.21428571428571427,,0.01785714285714285,0.4523809523809524,,0.16666666666666669,0.8035714285714286,,0.2857142857142857,,,
A,cuando_80,1024,61,confidence (baseline),0.007179925640351724,0.47540983606557374,,0.0,0.6721311475409836,,0.0,0.8360655737704918,,0.0,,,
A,cuando_80,1024,61,tile-phase (aligned),0.005021816902367314,0.36065573770491804,,-0.1147540983606557,0.7540983606557377,,0.08196721311475408,0.9344262295081968,,0.09836065573770492,,,
A,cuando_80,1024,61,boundary indicator,0.006977775771925091,0.5282331511839709,,0.05282331511839711,0.7828868452618952,,0.11075569772091165,0.8697548503534367,,0.03368927658294485,,,
A,cuando_80,1024,61,control NDWI gradient,0.009273066998781571,0.3114754098360656,,-0.16393442622950816,0.6557377049180327,,-0.016393442622950838,0.9180327868852459,,0.08196721311475408,,,
A,cuando_80,1024,61,constant score,0.0595703125,0.0498046875,,-0.42560514856557374,0.099609375,,-0.5725217725409836,0.2001953125,,-0.6358702612704918,,,
