part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,identity_max_abs_dp,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,0.0062999725341796875,,,,,,,,,,,,,,
A,barotse,1024,98,dihedral consistency (8 transforms),0.04647226915993326,0.04169249918059778,0.0761016309261322,0.022013138045396022,-0.03363408524013787,-0.03855836289556353,-0.007225369517048975,0.0062999725341796875,0.5667187906989811,0.5285947852459221,0.39777288720391446,0.27620452052172534,,,,,,,,,,
A,barotse,1024,98,"boundary first, then confidence",0.01623502013493022,0.011455250155594742,1.138671875,0.05225038707039906,-0.0033968362151348304,-0.008321113870560493,0.023011879507954063,0.0062999725341796875,0.8712138348472933,0.8612196686574642,0.8044240415901327,0.1575285543773694,,,,,,,,,,
A,barotse,1024,98,combination conf+dihedral (prereg),0.05770483890588498,0.0529250689265495,0.5,0.0107805682994443,-0.04486665498608959,-0.049790932641515254,-0.018457939263000697,0.0062999725341796875,,,,,,,,,,,,,,
