group,reference,family,n_units,test_accuracy,margin_eaurc,view_kl_eaurc,view_kl_lead,missed_by_margin,found_by_view_kl,found_by_control,ci_lo,gain_interleave_5,gain_interleave_10,seconds
awf,awf_sentinel2,classification,200,0.83,0.03816053771465171,0.03743847337302878,0.12324056098476277,25,0.16,0.12,-0.14285714285714285,0.0,-0.02941176470588236,3.4
nandi,nandi_sentinel2,classification,825,0.8109090909090909,0.03702512070347863,0.11173602307216617,0.027879963303418784,110,0.2727272727272727,0.12727272727272726,0.04443952802359883,-0.006410256410256415,0.0,2.8
togo,cropharvest_Togo_12_sentinel2,classification,306,0.8300653594771241,0.0529807751477505,0.07691058886754815,0.028192014036032956,37,0.21621621621621623,0.05405405405405406,0.02437572590011614,0.0,0.0,0.7
china,cropharvest_Peoples_Republic_of_China_6_sentinel1_sentinel2,classification,4397,0.7737093472822378,0.08495881543226866,0.13741731218655995,0.120639224169663,825,0.08727272727272728,0.04242424242424243,0.021396621233901833,-0.035175879396984924,-0.015075376884422093,2.9
pastis,pastis_sentinel2,segmentation,458638,0.8099437900915318,0.038639293478866556,0.07968796898103701,0.07636766784622627,61229,0.16276600957062828,0.15842166293749693,-0.00963973677648593,-0.040898505168240284,-0.06281046726398751,315.9
