pair,n_windows,n_disagree,disagreement_rate,flooded_share,err_a_share,err_b_share,both_confident_share,both_confident_flooded
time_only_s2,106606,25960,0.24351349830215935,0.03794298921417565,0.8848613251155624,0.07742681047765794,0.8834360554699537,0.03597279148861952
time_only_s1,106606,2779,0.02606795114721498,0.4112990284274919,0.09787693414897446,0.49226340410219505,0.35228499460237495,0.8672114402451481
sensor_only_pre,106606,23301,0.2185711873628126,0.000772499034376207,0.9787562765546544,0.021243723445345693,0.8923651345435818,0.00028855864954552014
sensor_only_post,106606,4066,0.03814044237660169,0.18002951303492376,0.5499262174126907,0.4500737825873094,0.4254795868175111,0.21791907514450867
mixed,106606,24972,0.23424572725737763,0.04593144321640237,0.9019702066314272,0.052578888354957554,0.600512574082973,0.05708188850360096
mixed_mirror,106606,3611,0.033872389921768005,0.27277762392689003,0.17751315425090003,0.5502630850180006,0.6449736914981999,0.34778875053671104
