part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,,,,,,,,,,,,,,
A,barotse,1024,98,Laplace logit variance,0.16709758497752675,0.16231781499819128,749.9289937518528,-0.09861217777219748,-0.15425940105773137,-0.15918367871315703,-0.12785068533464247,-0.2954387315821472,-0.28714873086689074,-0.13686156659037263,-0.061098544453186465,,,,,,,,,,
A,barotse,1024,98,Laplace moderated confidence (probit),0.08095803075531341,0.07617826077597793,-0.413214296911491,-0.01247262354998413,-0.06811984683551803,-0.07304412449094368,-0.04171113111242913,0.988147776446606,0.7662333926400113,0.36144884128460053,0.054916393230097976,,,,,,,,,,
A,barotse,1024,98,Laplace mutual information,0.09131022196097177,0.0865304519816363,0.6193210700406528,-0.022824814755642492,-0.07847203804117639,-0.08339631569660204,-0.05206332231808749,0.9076880565589013,0.6820786133860238,0.30618843206852153,0.015624105929475714,,,,,,,,,,
A,barotse,1024,98,Laplace predictive entropy,0.08094702257481856,0.07616725259548308,0.6657171068472694,-0.012461615369489282,-0.06810883865502318,-0.07303311631044883,-0.04170012293193428,0.9881680718475073,0.7662479771654388,0.3614583296080395,0.054890040501394746,,,,,,,,,,
A,barotse,1024,98,bootstrap-head logit std (B=16),0.07417514812420793,0.06939537814487245,2.0538110733032227,-0.005689740918878652,-0.06133696420441254,-0.0662612418598382,-0.03492824848132365,0.20182514439238966,0.17560956610757453,0.10517341615406621,-0.035894752253057716,,,,,,,,,,
A,barotse,1024,98,diagnostic feature norm,0.17874171175581138,0.17396194177647592,11.98941138227087,-0.11025630455048212,-0.165903527836016,-0.17082780549144166,-0.1394948121129271,-0.30465711277805596,-0.31074048038409263,-0.1698213758851298,-0.058199565481725196,,,,,,,,,,
A,barotse,1024,98,combination conf+Laplace (prereg),0.12044755067173141,0.11566778069239593,0.5,-0.05196214346640213,-0.10760936675193603,-0.11253364440736167,-0.08120065102884713,,,,,,,,,,,,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.0023018940301927785,-11.007868766784668,0.0,-0.001014806102845183,0.0009136822816946458,0.005746448130515675,,,,,,,,,,,,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.0012870879273475955,0.044724094290610236,0.001014806102845183,0.0,0.0019284883845398287,0.006761254233360858,,,,,,,,,,,,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.0032155763118874242,0.089111328125,-0.0009136822816946458,-0.0019284883845398287,0.0,0.004832765848821029,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.008048342160708453,0.027005727284564577,-0.005746448130515675,-0.006761254233360858,-0.004832765848821029,0.0,,,,,,,,,,,,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0466646078509389,0.0,-0.04436271382074612,-0.045377519923591306,-0.043449031539051476,-0.038616265690230446,,,,,,,,,,,,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.012382725756712017,81.56912360161513,-0.010080831726519239,-0.011095637829364421,-0.009167149444824593,-0.004334383596003563,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI level,0.0145981085701191,0.013411153921057996,-0.19716515467440648,-0.011109259890865218,-0.0121240659937104,-0.010195577609170572,-0.005362811760349542,,,,,,,,,,,,,,
A,cuando_20,1024,49,Laplace logit variance,0.0687090623183157,0.0675221076692546,635.0333688417383,-0.06522021363906182,-0.066235019741907,-0.06430653135736716,-0.05947376550854614,-0.2913651115800014,-0.23728739002932547,-0.015366893015521061,-0.14278552142192974,,,,,,,,,,
A,cuando_20,1024,49,Laplace moderated confidence (probit),0.003648028058349947,0.002461073409288844,-0.6982989246511176,-0.00015917937909606548,-0.0011739854819412484,0.0007545029025985803,0.00558726875141961,0.9567480643373147,0.7493805208854873,0.2449889694049066,0.42503623220799647,,,,,,,,,,
A,cuando_20,1024,49,Laplace mutual information,0.004981406214985239,0.0037944515659241356,0.5783829211280224,-0.001492557535731357,-0.00250736363857654,-0.0005788752540367113,0.004253890594784318,0.9121348727737644,0.7114725788570202,0.23802010317573846,0.40336443208640294,,,,,,,,,,
A,cuando_20,1024,49,Laplace predictive entropy,0.003648028058349947,0.002461073409288844,0.625837930801953,-0.00015917937909606548,-0.0011739854819412484,0.0007545029025985803,0.00558726875141961,0.9568733571454116,0.7494872170266791,0.24493078776553895,0.42504221130462766,,,,,,,,,,
A,cuando_20,1024,49,bootstrap-head logit std (B=16),0.0438795987612767,0.0426926441122156,1.816718339920044,-0.04039075008202282,-0.041405556184868006,-0.039477067800328176,-0.034644301951507146,0.1447748059866962,0.09806082808811958,0.04542884092697231,0.0524116993598455,,,,,,,,,,
