testbed,n_windows,acc A0 no encoder,acc A1 S2 linear,acc A2 S1 linear,acc A3 S2 MLP,acc A4 S2 3x3 linear,phi A0 no encoder vs A1 S2 linear,phi A0 no encoder vs A2 S1 linear,phi A0 no encoder vs A3 S2 MLP,phi A0 no encoder vs A4 S2 3x3 linear,phi A1 S2 linear vs A2 S1 linear,phi A1 S2 linear vs A3 S2 MLP,phi A1 S2 linear vs A4 S2 3x3 linear,phi A2 S1 linear vs A3 S2 MLP,phi A2 S1 linear vs A4 S2 3x3 linear,phi A3 S2 MLP vs A4 S2 3x3 linear,backbone_swap_phi
bolivia,81984,0.9198502146760343,0.9115925058548009,0.8727556596409055,0.9201185597189696,0.928986143637783,0.7144653162201634,0.44833415387068637,0.5859232627097988,0.5361269057011842,0.3885663475712719,0.6792587918431279,0.6268552995709136,0.342742452462529,0.3001410179419016,0.6524812499602615,0.6968365816742046
test,171861,0.9425058622956924,0.9527583337697325,0.8931171120847662,0.9566801077615049,0.9540966245977854,0.552712506702267,0.4839483282111357,0.4761509890168607,0.43146905374988687,0.38110383013284554,0.697768732416087,0.6787692209138535,0.37857349483670605,0.3600334224628747,0.7027219957368867,0.7046557397695807
