window,map,axis,hypothesis,predicted_period_px,fundamental_whitened_power,p_fundamental,n_harmonics,comb_whitened_power,p_comb,n_strips
chobe_east,class_boundary,col,encoder patch 4 px,4.398170646691414,68.67796634145881,1.4912078786468376e-30,1,68.67796634145881,1.4912078786468376e-30,1
chobe_east,class_boundary,col,2 patches 8 px,8.796341293382827,143.13239241354816,6.892738354772864e-63,2,105.90517937750349,2.187372494013601e-90,1
chobe_east,class_boundary,col,window 32 px,35.18536517353131,1.1940226597665322,0.3029999435529948,3,23.93028744762835,1.7572369400553701e-28,1
chobe_east,class_boundary,col,window 64 px,70.37073034706262,0.6931471805599453,0.5000000000000001,3,0.8473196390358909,0.5330960288828626,1
chobe_east,class_boundary,col,window 128 px,140.74146069412524,0.5638949719457809,0.5689885478010545,3,0.9694743460889038,0.4440168884032608,1
chobe_east,class_boundary,col,window 256 px,281.4829213882505,0.39232491162863464,0.6754846054988409,3,0.4772551343518301,0.8257699754958346,1
chobe_east,class_boundary,col,window 512 px,562.965842776501,0.8166299694751014,0.44191842645211854,3,0.7887849971395621,0.5785232106198861,1
chobe_east,class_boundary,col,warp duplication beat,11.045943952016234,0.35121911282628476,0.7038295188837024,3,1.90258215193549,0.07635317431417045,1
chobe_east,class_boundary,row,encoder patch 4 px,4.398170646691414,4.857991457388637,0.007766066712432268,1,4.857991457388637,0.007766066712432268,1
chobe_east,class_boundary,row,2 patches 8 px,8.796341293382827,1.2778689863623878,0.2786304334950631,2,3.0679302218755127,0.015441021066628023,1
chobe_east,class_boundary,row,window 32 px,35.18536517353131,0.9613949015228033,0.3823591604392174,3,10.059654054625303,3.8070019010561166e-11,1
chobe_east,class_boundary,row,window 64 px,70.37073034706262,1.2484578699177762,0.2869469653791877,3,1.2750723447052914,0.2648479868740054,1
chobe_east,class_boundary,row,window 128 px,140.74146069412524,0.6742538836236563,0.5095364523073924,3,0.7803653759795671,0.5851710654511091,1
chobe_east,class_boundary,row,window 256 px,281.4829213882505,0.422269262079755,0.6555574988511317,3,0.5996757270522503,0.7308815773500354,1
chobe_east,class_boundary,row,window 512 px,562.965842776501,1.0352582514469697,0.3551346550427565,3,0.8112546417396455,0.5609126728297182,1
chobe_east,class_boundary,row,warp duplication beat,11.045943952016234,0.22867841517454823,0.7955843402222927,3,2.0349517423432246,0.0574506433897333,1
chobe_east,change_gradient,col,encoder patch 4 px,4.398170646691414,106.85728166519657,3.9126610013467985e-47,1,106.85728166519657,3.9126610013467985e-47,1
chobe_east,change_gradient,col,2 patches 8 px,8.796341293382827,242.39714286234172,5.348825451487789e-106,2,174.62721226376914,7.330173893788515e-150,1
chobe_east,change_gradient,col,window 32 px,35.18536517353131,1.4761890376296933,0.22850686219069394,3,23.75101658959402,2.9645530035596015e-28,1
chobe_east,change_gradient,col,window 64 px,70.37073034706262,0.5743254603563492,0.5630845635938376,3,1.0123515337129958,0.4149397764265779,1
chobe_east,change_gradient,col,window 128 px,140.74146069412524,1.5271446664639108,0.2171548324094143,3,1.2946264131215894,0.2556164845662988,1
chobe_east,change_gradient,col,window 256 px,281.4829213882505,0.5247025316552185,0.5917313595370981,3,1.5570373437169236,0.15522659981880574,1
chobe_east,change_gradient,col,window 512 px,562.965842776501,0.5499211721354528,0.5769952918945718,3,0.8208425405367548,0.5534607464818908,1
chobe_east,change_gradient,col,warp duplication beat,11.045943952016234,1.7971728237376483,0.1657668785484136,3,2.2265795776781308,0.03766960915594563,1
chobe_east,change_gradient,row,encoder patch 4 px,4.398170646691414,0.5620079110489447,0.5700632775616845,1,0.5620079110489447,0.5700632775616845,1
chobe_east,change_gradient,row,2 patches 8 px,8.796341293382827,3.3076718537743903,0.03660128778635071,2,1.9348398824116675,0.10160611215912921,1
chobe_east,change_gradient,row,window 32 px,35.18536517353131,1.7831665861235142,0.1681049846497485,3,1.3765464568828467,0.2197166655076832,1
chobe_east,change_gradient,row,window 64 px,70.37073034706262,2.1979515371105096,0.11103036715521652,3,1.8957233650279257,0.0774734603966573,1
chobe_east,change_gradient,row,window 128 px,140.74146069412524,2.3964919228695507,0.09103675773501066,3,1.8251119335172508,0.08991300288064251,1
chobe_east,change_gradient,row,window 256 px,281.4829213882505,1.5115132057564826,0.22057594850045384,3,1.5527108643218541,0.15655717633335484,1
chobe_east,change_gradient,row,window 512 px,562.965842776501,0.4790234638768976,0.6193879512796542,3,0.8621296502308887,0.5218518982915088,1
chobe_east,change_gradient,row,warp duplication beat,11.045943952016234,0.6931471805599453,0.5000000000000001,3,0.626225876550326,0.7094733110976716,1
