task,n_classes,n_windows,accuracy_A,accuracy_B,gain,seed_floor,lambda,error_rate_A,contamination_gap
mados,15,22598,0.9264094167625454,0.9261439065404018,-0.00026551022214360565,0.0,0.5,0.07359058323745464,
sen1floods11,2,592385,0.9154890822691324,0.9145808891177191,-0.0009081931514133279,6.921174573970568e-05,0.5,0.0845109177308676,-0.012548446655273438
pastis_sentinel1,19,458638,0.7157104295762671,0.7058726054099311,-0.00983782416633594,4.142700779263819e-05,0.5,0.2842895704237329,0.009049654006958008
pastis_sentinel2,19,458638,0.8099437900915318,0.8068760111460455,-0.003067778945486377,8.721475324768857e-05,0.5,0.1900562099084681,0.003500699996948242
pastis_sentinel1_sentinel2,19,458638,0.8051600608758978,0.8010435245226082,-0.004116536353289568,2.180368831261603e-06,0.5,0.19483993912410225,0.01553422212600708
m_cashew_plant,7,204800,0.6526953125,0.647919921875,-0.004775390624999987,0.00048828125,0.5,0.3473046875,0.011837959289550781
m_sa_crop_type,10,4096000,0.65993408203125,0.6510590820312501,-0.008874999999999966,0.0002363281249999627,0.5,0.34006591796875,0.0037161707878112793
