year,scene,n_errors,seasonal_fraction,intermittent_fraction,permanent_fraction,seasonal_share_among_errors,seasonal_share_among_correct,intermittent_share_among_errors,intermittent_share_among_correct,error_rate_seasonal,error_rate_nonseasonal,n_errors_nonseasonal,n_errors_seasonal,eaurc_all[baseline],eaurc_nonseasonal[baseline],eaurc_seasonal[baseline],eaurc_all[E_case],eaurc_nonseasonal[E_case],eaurc_seasonal[E_case],eaurc_all[tile-phase (aligned)],eaurc_nonseasonal[tile-phase (aligned)],eaurc_seasonal[tile-phase (aligned)],eaurc_all[boundary],eaurc_nonseasonal[boundary],eaurc_seasonal[boundary],eaurc_all[E_dist],eaurc_nonseasonal[E_dist],eaurc_seasonal[E_dist],eaurc_all[control],eaurc_nonseasonal[control],eaurc_seasonal[control]
2024,barotse,97,0.556640625,0.65234375,0.001953125,0.41237113402061853,0.5717367853290184,0.5876288659793815,0.6591154261057174,0.07017543859649122,0.12555066079295155,57,40,0.06374072895973824,0.07928206530913415,0.05523285741934066,0.01882098459960902,0.012338649949261846,0.023087996626888475,0.008062302076029178,0.012913981452974177,0.005178970595570712,0.0030712994393955247,0.005267188452695769,0.001719310342929908,0.024260756342520333,0.03708283077714991,0.01815238556994523,0.033738832630902514,0.05474290209395352,0.023864995158796393
2024,cuando_20,49,0.0185546875,0.0498046875,0.0,0.10204081632653061,0.014358974358974359,0.32653061224489793,0.035897435897435895,0.2631578947368421,0.04378109452736319,44,5,0.002305352845290396,0.0018740860880043272,nan,0.006294766038915097,0.004875152198339804,nan,0.0012964121541724181,0.0011165501908775666,nan,0.0032155763118874242,0.003154008653421269,nan,0.0026931857860731704,0.0024572768089222404,nan,0.008048342160708453,0.007935986857056753,nan
2024,cuando_50,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.1640625,168,0,0.03928680150979784,0.03928680150979784,nan,0.0651068492515779,0.0651068492515779,nan,0.013311633047836485,0.013311633047836485,nan,0.014737395802324221,0.014737395802324221,nan,0.004545659659027115,0.004545659659027115,nan,0.01724388103998276,0.01724388103998276,nan
2024,cuando_80,61,0.0224609375,0.0458984375,0.0,0.11475409836065574,0.016614745586708203,0.22950819672131148,0.03426791277258567,0.30434782608695654,0.053946053946053944,54,7,0.005351764143434398,0.005008839621721707,nan,0.013692698038489699,0.012679005960783992,nan,0.003189617672577911,0.0026954265320804447,nan,0.005138066862936575,0.004602209995631274,nan,0.0074092382730945715,0.006206183322094479,nan,0.007433358089793054,0.006931726179195669,nan
2024,delta,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0283203125,29,0,0.022975242223047705,0.022975242223047705,nan,0.009930001749540349,0.009930001749540349,nan,0.00043636665073223295,0.00043636665073223295,nan,3.9351230026785674e-06,3.9351230026785674e-06,nan,0.0009788759944057367,0.0009788759944057367,nan,5.2083935300180535e-05,5.2083935300180535e-05,nan
2024,kafue_20,77,0.1337890625,0.1455078125,0.0009765625,0.33766233766233766,0.11721224920802534,0.38961038961038963,0.12565997888067582,0.1897810218978102,0.05749718151071026,51,26,0.013490831670502981,0.00646962790325082,0.04899949265538944,0.02148003446375599,0.013380246928592117,0.03931078917711735,0.004892579927681797,0.002647112728125079,0.04267729113819799,0.009804994732680592,0.006787940903876881,0.10273405710716722,0.0377729586023257,0.03449580315875215,0.11048132028191689,0.02577632965711113,0.02363641432585726,0.07721572507482134
2024,kafue_50,48,0.076171875,0.0791015625,0.0,0.5208333333333334,0.05430327868852459,0.5416666666666666,0.05635245901639344,0.32051282051282054,0.024312896405919663,23,25,0.02296708498167975,0.013038251414089536,0.18093387362320204,0.026312882032079224,0.015517659458159206,0.21258877460375222,0.0015796367371150263,0.0003349617198349731,0.12720297690039625,0.0017360994418049438,0.0001664877460732457,0.0761547544579036,0.007713701818540927,0.00386354195695859,0.09965600912261222,0.008807346556610331,0.00866712181835864,0.06454960768290602
2024,kafue_80,38,0.0947265625,0.1416015625,0.009765625,0.47368421052631576,0.08012170385395538,0.6578947368421053,0.12170385395537525,0.18556701030927836,0.021574973031283712,20,18,0.012058791409741282,0.01258640054241951,0.03517463983364055,0.0061292738060071345,0.005540294112392637,0.023197585196310534,0.0012824492546754601,0.00037903883377945645,0.037141038691132805,0.0014017866873019813,0.0005253636280107975,0.0365870579069113,0.013101361751979847,0.0045417948566889525,0.08293478271104479,0.0007046593069712585,0.00019048250910527298,0.022519290825255587
2024,kazungula,18,0.19140625,0.462890625,0.283203125,0.7222222222222222,0.18190854870775347,0.7777777777777778,0.4572564612326044,0.0663265306122449,0.006038647342995169,5,13,0.0007264169942157101,nan,0.006345441606633938,0.0006940255423347415,nan,0.008034767772646001,0.0004147948702188446,nan,0.007230266473358485,0.00033813646722221367,nan,0.0046001652149926416,0.00348870537733273,nan,0.02568319240704656,0.001442972802468698,nan,0.012659960303588524
2024,luangwa_conf,52,0.33203125,0.57421875,0.068359375,0.7115384615384616,0.3117283950617284,1.0,0.551440329218107,0.10882352941176471,0.021929824561403508,15,37,0.008947765780212034,0.0031034603227796187,0.028537120114578735,0.017581065260995503,0.0017263266460925484,0.06204983720466898,0.005815172808717865,0.0010981359258689235,0.027089969275494,0.009700327308088338,0.002000162826620563,0.032185712101686435,0.009462142714851587,0.003774817366718589,0.03377039082689428,0.058351504843803734,0.04041943571928983,0.08884553090036716
