split,variant,pixel_acc,baseline_pixel_acc,mean_gain,w,l,t,sign_p,steps_median,eaurc_confidence,baseline_eaurc_confidence,passes
bolivia,memo,0.9038805448867712,0.9070736899739421,-0.0031931450871707577,191,186,63,0.41840846024705114,20.0,0.010796571782534577,0.009405838392621227,False
bolivia,consistency,0.899202774154214,0.9070736899739421,-0.007870915819727996,171,202,67,0.9512952184035862,20.0,0.010318490179200085,0.009405838392621227,False
test,memo,0.9423854008082349,0.9502769988454557,-0.00789159803722074,230,381,189,0.9999999996812107,20.0,0.014454662889580208,0.010889805796485423,False
test,consistency,0.9362513307964596,0.9502769988454557,-0.014025668048996071,196,417,187,1.0,20.0,0.009888472706029997,0.010889805796485423,False
