pair,a,b,n_windows,n_disagree,disagreement_rate,flooded_share,err_a_share,err_b_share,neither_share,boundary_enrichment,both_confident_share,both_confident_flooded
time_only,A_s1pre,B_s1post,869160,29700,0.0341709236504211,0.2594949494949495,0.5454208754208755,0.1960942760942761,0.0,12.896125648371877,0.4828956228956229,0.4083112536605773
sensor_only,A_s2pre,A_s1pre,869160,42696,0.049123291453817476,0.0040519018175004685,0.5892589469739554,0.4107410530260446,0.0,7.265824503263928,0.674020985572419,0.001563694488845646
mixed,A_s2pre,B_s1post,869160,39686,0.04566017764278154,0.19518218011389407,0.6300206621982564,0.17761931159602884,0.0,7.39347092107232,0.567857682810059,0.2618920837770678
