window,map,axis,rank,period_px,whitened_power,p_bonferroni,matches,harmonic_of,n_bins,n_strips
chobe_east,worldcover_boundary,col,1,8.301229508196721,8.48613192537713,0.27789922000996964,,window 128 px (h=17);window 256 px (h=34),1347,1
chobe_east,worldcover_boundary,col,2,16.670781893004115,8.374209530589035,0.3108097301534467,,window 256 px (h=17);window 512 px (h=34),1347,1
chobe_east,worldcover_boundary,col,3,29.786764705882355,7.531472951567752,0.721922291662994,,window 512 px (h=19),1347,1
chobe_east,worldcover_boundary,col,4,17.386266094420602,6.916820917186764,1.0,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32);window 512 px (h=33),1347,1
chobe_east,worldcover_boundary,col,5,5.358465608465608,5.803974709886015,1.0,,window 64 px (h=13);window 128 px (h=26),1347,1
chobe_east,worldcover_boundary,col,6,3.983284169124877,5.723246864286757,1.0,,window 32 px (h=9);window 64 px (h=18);window 128 px (h=35);window 128 px (h=36),1347,1
chobe_east,worldcover_boundary,col,7,6.119335347432024,5.213826599829842,1.0,,window 128 px (h=23);window 256 px (h=46),1347,1
chobe_east,worldcover_boundary,col,8,3.0367316341829085,5.084375044996809,1.0,,window 64 px (h=23);window 128 px (h=46);window 128 px (h=47),1347,1
chobe_east,worldcover_boundary,row,1,289.2142857142857,8.772067287729739,0.20863378736054516,,,1346,1
chobe_east,worldcover_boundary,row,2,3.5362445414847166,7.365347011486374,0.8517565765228735,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1346,1
chobe_east,worldcover_boundary,row,3,5.197689345314506,7.219059004539489,0.9859333782748989,,window 128 px (h=27),1346,1
chobe_east,worldcover_boundary,row,4,6.605220228384992,6.855513994995034,1.0,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1346,1
chobe_east,worldcover_boundary,row,5,3.291869918699187,6.43636748798781,1.0,,window 64 px (h=21);window 128 px (h=42);window 128 px (h=43),1346,1
chobe_east,worldcover_boundary,row,6,6.210122699386503,6.326785935086768,1.0,,window 128 px (h=23);window 256 px (h=45);window 256 px (h=46),1346,1
chobe_east,worldcover_boundary,row,7,5.639275766016713,5.817220893946767,1.0,,window 128 px (h=25),1346,1
chobe_east,worldcover_boundary,row,8,4.3725701943844495,5.801216986593292,1.0,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1346,1
sesheke,class_boundary,col,1,17.55217391304348,449.0172719936589,1.3244300006996594e-192,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1342,1
sesheke,class_boundary,col,2,8.77608695652174,437.4876166540838,1.3467739329780695e-187,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1342,1
sesheke,class_boundary,col,3,5.85072463768116,402.06510858027667,3.2590760410985317e-172,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1342,1
sesheke,class_boundary,col,4,4.38804347826087,277.0900386333564,6.152870109782959e-118,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,class_boundary,col,5,3.510434782608696,172.09539208606975,2.4415935662097836e-72,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1342,1
sesheke,class_boundary,col,6,6.585644371941274,124.58642274061232,1.0484714269355385e-51,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1342,1
sesheke,class_boundary,col,7,4.788849347568209,105.9767724053585,1.2665579062831525e-43,,window 128 px (h=29),1342,1
sesheke,class_boundary,col,8,5.263363754889179,96.96346188477337,1.0400544416525713e-39,,window 128 px (h=27),1342,1
sesheke,class_boundary,row,1,5.884839650145773,572.1581293249586,4.391715253476188e-246,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1342,1
sesheke,class_boundary,row,2,3.531933508311462,222.9118760699679,2.0813963466933315e-94,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=39);window 128 px (h=40),1342,1
sesheke,class_boundary,row,3,8.833698030634574,217.5583688150981,4.398994789471787e-92,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1342,1
sesheke,class_boundary,row,4,6.628899835796389,164.39633743647636,5.386793433767718e-69,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1342,1
sesheke,class_boundary,row,5,17.628820960698693,146.4205222117574,3.4524522595388475e-61,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1342,1
sesheke,class_boundary,row,6,3.1173745173745178,113.98541852882136,4.2122508959206727e-47,,window 128 px (h=45),1342,1
sesheke,class_boundary,row,7,4.412021857923498,112.09954485313952,2.7767626704866448e-46,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,class_boundary,row,8,7.55992509363296,106.97238807806835,4.679879357106717e-44,,window 256 px (h=37),1342,1
sesheke,change_gradient,col,1,4.38804347826087,261.1848221581003,4.973080573386733e-111,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,change_gradient,col,2,4.38327904451683,167.47549471156023,2.477817458281241e-70,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1342,1
sesheke,change_gradient,col,3,3.507384882710687,120.01520496056862,1.0134708387421385e-49,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1342,1
sesheke,change_gradient,col,4,3.510434782608696,97.56777453566146,5.683376450506362e-40,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1342,1
sesheke,change_gradient,col,5,5.85072463768116,80.70536354895962,1.1963505856420813e-32,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1342,1
sesheke,change_gradient,col,6,4.788849347568209,67.2364235960017,8.459501371728707e-27,,window 128 px (h=29),1342,1
sesheke,change_gradient,col,7,8.77608695652174,57.44894969303492,1.506574710358753e-22,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1342,1
sesheke,change_gradient,col,8,3.095858895705522,54.83789455945479,2.0509615069092667e-21,,window 64 px (h=23);window 128 px (h=45);window 128 px (h=46),1342,1
