split,tiles,valid_patches,head_acc,n_tiles_scored,confidence (baseline)|pooled,tile-phase (aligned)|pooled,band-set disagreement|pooled,E_case |Nano-Base||pooled,boundary indicator|pooled,E_dist knn-to-train|pooled,control NDWI gradient|pooled,confidence (baseline)|W/L,tile-phase (aligned)|W/L,band-set disagreement|W/L,E_case |Nano-Base||W/L,boundary indicator|W/L,E_dist knn-to-train|W/L,control NDWI gradient|W/L,confidence (baseline)|sign_p,tile-phase (aligned)|sign_p,band-set disagreement|sign_p,E_case |Nano-Base||sign_p,boundary indicator|sign_p,E_dist knn-to-train|sign_p,control NDWI gradient|sign_p
bolivia,441,81984,0.9117,351,0.01046,0.01149,0.01315,0.01863,0.03118,0.05923,0.03557,0/0,163/187,111/239,84/265,134/217,22/329,79/271,1.00e+00,2.19e-01,6.65e-12,5.62e-23,1.10e-05,2.11e-71,9.38e-26
test,800,171861,0.9528,482,0.00961,0.01267,0.01054,0.01040,0.01675,0.02682,0.02705,0/0,173/305,148/334,141/340,154/327,19/462,67/414,1.00e+00,1.65e-09,1.41e-17,5.08e-20,2.21e-15,1.75e-111,4.25e-62
