strategy,budget,seed,epochs,steps,train_seconds,best_val_miou,selected_frozen_error_rate,selected_water_share,bolivia_window_acc,bolivia_frozen_window_acc,bolivia_pixel_acc,bolivia_share_corrected,bolivia_broken,bolivia_phi,test_window_acc,test_frozen_window_acc,test_pixel_acc,test_share_corrected,test_broken,test_phi
random,100,0,256,1024,326.2294840812683,0.8716989240265772,0.04607454039505497,0.17852435162201488,0.9357039776946464,0.9113810544603702,0.9258305630706862,0.42276679841897236,938,0.652102971619219,0.9550118917185537,0.9527872050452955,0.9436209306294377,0.34271968303381917,2089,0.6575630101509609
random,100,1,256,1024,325.74847292900085,0.8569128305640918,0.061638091688408496,0.18364604617676122,0.915990640718479,0.9113810544603702,0.9082210902623008,0.30861660079051384,1623,0.6827475684968853,0.9430400042756741,0.9527872050452955,0.9348322145941519,0.27182680062261216,3380,0.6446772672470661
random,100,2,256,1024,325.80826115608215,0.8751928376380016,0.042505387683983674,0.2078064665934715,0.9406778473652502,0.9113810544603702,0.9290677782862854,0.5252173913043479,1231,0.5484209984259877,0.959381096175944,0.9527872050452955,0.9466247335057382,0.3772463563039479,1679,0.6564410579615259
random,300,0,86,860,236.77541995048523,0.8883428531550998,0.047082032402876804,0.19751420530441466,0.9481596682218766,0.9113810544603702,0.9419830216198912,0.6132806324110672,1254,0.4710062026583776,0.9591472702493252,0.9527872050452955,0.9539986965933491,0.3799349087307202,1733,0.651353170131677
random,300,1,86,860,236.32565307617188,0.8823184189665514,0.04669852302345786,0.1949007899350955,0.9432698639541564,0.9113810544603702,0.9366653397929924,0.6003162055335969,1521,0.4622999415945493,0.9609043050693461,0.9527872050452955,0.9529594644898102,0.4072449412763549,1663,0.63587244926598
random,300,2,86,860,237.4320204257965,0.886829310941196,0.04663685456542931,0.22390086359162364,0.9449511720118252,0.9113810544603702,0.9394922683503955,0.5843478260869566,1300,0.4930197537375366,0.9599756821036316,0.9527872050452955,0.9533990276484499,0.38205745012027736,1624,0.6563057473991398
random,500,0,52,832,218.74041271209717,0.8960966256614145,0.04693603005984135,0.2160302380246409,0.9495327364689728,0.9113810544603702,0.9434469121917788,0.6202371541501976,1200,0.46907182304965517,0.9614588065524705,0.9527872050452955,0.9536617466886302,0.400594311589076,1533,0.6485775701999914
random,500,1,52,832,218.58367824554443,0.8945901928936465,0.043497599940693514,0.1865963016646392,0.9308702170288484,0.9113810544603702,0.9286101214738841,0.34608695652173915,798,0.7188380524476701,0.9605702680313193,0.9527872050452955,0.9552402441904342,0.360407527946795,1382,0.6864745553867366
random,500,2,52,832,218.54052257537842,0.891136521033632,0.047077846648514526,0.21092233842033467,0.9482017009233183,0.9113810544603702,0.9419027979716406,0.587193675889328,1086,0.5079512490788356,0.9607773709948959,0.9527872050452955,0.9540536419881791,0.38531201358426487,1527,0.6598896989903629
random,1000,0,26,832,201.5711748600006,0.898456276690101,0.04721678942477078,0.20528678286931512,0.9506956412088605,0.9113810544603702,0.9446999291739792,0.6128063241106719,1070,0.4866585334676539,0.9644785013762326,0.9527872050452955,0.9591850324377962,0.40582991368331683,1118,0.671859847043948
random,1000,1,26,832,202.02857971191406,0.9025367891380399,0.04150834852723536,0.2026084105206955,0.9492385075588808,0.9113810544603702,0.9451170921448824,0.5971541501976284,1075,0.5001556235356511,0.9603631650677427,0.9527872050452955,0.9561273757970267,0.4588934484222442,2109,0.5721493088127256
random,1000,2,26,832,201.63998699188232,0.9113539216649991,0.04589862439493449,0.19390786716088637,0.950317346895885,0.9113810544603702,0.9441146785591221,0.6368379446640317,1249,0.4498684978327694,0.9617126747013709,0.9527872050452955,0.9560687916343271,0.3906891184378095,1425,0.6624235103549372
audit,100,0,256,1024,332.60760617256165,0.866370247290301,0.17334470019892015,0.5590529495380242,0.9342468440446667,0.9113810544603702,0.9295185587859793,0.46529644268774706,1311,0.5899987368067188,0.9431535768686032,0.9527872050452955,0.9380445188693766,0.3090420263195132,3626,0.6096137887122802
audit,100,1,256,1024,331.6666669845581,0.869111920280011,0.17334470019892015,0.5590529495380242,0.9296372577865579,0.9113810544603702,0.9263600391491403,0.4224505928853755,1369,0.6183765023795647,0.9437080783517277,0.9527872050452955,0.9386296327427976,0.30324041318805717,3502,0.6185676913076673
audit,100,2,256,1024,333.65147638320923,0.8694909340686958,0.17334470019892015,0.5590529495380242,0.9329017975985316,0.9113810544603702,0.9277116166134771,0.4441106719367589,1273,0.6092046304461801,0.9427193287191684,0.9527872050452955,0.9368033351490785,0.30507994905900665,3663,0.6108179240907349
audit,300,0,86,860,236.65129709243774,0.9067124616182152,0.15867278297375714,0.4518395415240351,0.9512000336261611,0.9113810544603702,0.9441353074972437,0.6415810276679842,1216,0.4481209139272285,0.9547847465326955,0.9527872050452955,0.9506553966748211,0.383047969435404,2408,0.6125376747257062
audit,300,1,86,860,236.3751084804535,0.9079725859486231,0.15867278297375714,0.4518395415240351,0.9463802838608437,0.9113810544603702,0.9415498139193378,0.5348616600790513,885,0.5696494575792098,0.951945431709468,0.9527872050452955,0.9484954240674657,0.36507711900382056,2706,0.6108002289644504
audit,300,2,86,860,237.07396054267883,0.9079716989243303,0.15867278297375714,0.4518395415240351,0.9533717232006501,0.9113810544603702,0.9469416071165252,0.6564426877470356,1155,0.43914722434318043,0.9573100665401779,0.9527872050452955,0.9527273110997339,0.41715013442762133,2271,0.5947921273023762
audit,500,0,52,832,218.30936312675476,0.9106188026438422,0.1477623975272141,0.41500126121581205,0.9490143331511917,0.9113810544603702,0.9424658915788855,0.6091699604743083,1167,0.4817624382030565,0.9567622457978141,0.9527872050452955,0.951633497478152,0.43299844346964766,2465,0.5732364517560979
audit,500,1,52,832,219.31622862815857,0.9093662759595629,0.1477623975272141,0.41500126121581205,0.9518585459487481,0.9113810544603702,0.946609252002344,0.653596837944664,1245,0.43447519117552086,0.9604433339568691,0.9527872050452955,0.9566218843504963,0.4611574925711051,2113,0.5702107940721067
audit,500,2,52,832,218.36514377593994,0.9108112286842533,0.1477623975272141,0.41500126121581205,0.9462681966569991,0.9113810544603702,0.9403900091760573,0.5519367588932806,1001,0.5453205484563374,0.959568156917239,0.9527872050452955,0.9537763678765206,0.43540399037781236,2062,0.5923788467943574
audit,1000,0,26,832,201.52185916900635,0.9086900708709789,0.12836485408416257,0.3574857151737595,0.9530214506886358,0.9113810544603702,0.9460400461171372,0.7090909090909091,1513,0.3594829791256546,0.9607105635872906,0.9527872050452955,0.9565531116377621,0.4617235036083204,2077,0.5717247564159453
audit,1000,1,26,832,201.5758605003357,0.9111289655572324,0.12836485408416257,0.3574857151737595,0.9525030473708546,0.9113810544603702,0.9469568878114301,0.6569169960474308,1220,0.43334238241143336,0.9598888324737447,0.9527872050452955,0.9564781530196497,0.4560633932361681,2160,0.5715692662089815
audit,1000,2,26,832,201.2161786556244,0.9105427107945436,0.12836485408416257,0.3574857151737595,0.9444888122959663,0.9113810544603702,0.9405030863183534,0.5130434782608696,882,0.5875575330923327,0.9558737072766629,0.9527872050452955,0.952312491562607,0.3826234611574926,2242,0.6213369316643447
entropy,100,0,256,1024,328.21766471862793,0.8678099482595583,0.21527488546438983,0.4615818068113714,0.9326355904894008,0.9113810544603702,0.923986183195667,0.6390513833992095,2525,0.36523697284650575,0.9361321183292803,0.9527872050452955,0.9288762793452984,0.34243667751521156,4913,0.540487659082562
entropy,100,1,256,1024,328.22910380363464,0.8562854142424203,0.21527488546438983,0.4615818068113714,0.937889678169616,0.9113810544603702,0.92734487993576,0.6901185770750988,2473,0.32011510977203766,0.9351032842521578,0.9527872050452955,0.9267403226058818,0.3418706664779963,5063,0.5360629211396212
entropy,100,2,256,1024,328.7631275653839,0.8647467119868261,0.21527488546438983,0.4615818068113714,0.9267650231880403,0.9113810544603702,0.9177577719524374,0.49122529644268775,2009,0.5213111016520295,0.9366331738863205,0.9527872050452955,0.9281565310607045,0.32474883260223575,4713,0.5590948493443456
entropy,300,0,86,860,236.53152084350586,0.9047139292428609,0.18068418714329654,0.41566067887329367,0.9505275104030936,0.9113810544603702,0.944058139987974,0.6599209486166008,1380,0.41788278346722435,0.9558202613505785,0.9527872050452955,0.9504727305277705,0.4535163435686996,2751,0.5441251193441563
entropy,300,1,86,860,236.9761769771576,0.9020199476673876,0.18068418714329654,0.41566067887329367,0.9500371288862736,0.9113810544603702,0.9437273129432834,0.6230830039525692,1182,0.4679571948818873,0.9546578124582453,0.9527872050452955,0.9498348545202412,0.4303098910428753,2761,0.5610174219433681
entropy,300,2,86,860,236.56910610198975,0.9022871494463589,0.18068418714329654,0.41566067887329367,0.9509618483179914,0.9113810544603702,0.9439939610693736,0.6475889328063241,1271,0.4380679727472704,0.9557935383875364,0.9527872050452955,0.9503912221274929,0.43271543795104006,2608,0.5664655629228579
entropy,500,0,52,832,218.9315369129181,0.911401863784465,0.16279092987728774,0.3891134273145371,0.9486360388382161,0.9113810544603702,0.9426446757092726,0.6262450592885376,1302,0.4554252532235745,0.9584391117287084,0.9527872050452955,0.9540267151059445,0.44403565869534456,2292,0.5737346746498375
entropy,500,1,52,832,219.08434128761292,0.9089644621842417,0.16279092987728774,0.3891134273145371,0.9508077284127051,0.9113810544603702,0.9447641080925796,0.6724110671936759,1439,0.40140476441528694,0.9591405895085647,0.9527872050452955,0.9547319083190603,0.4562048959954719,2273,0.5655319853417717
