pair,testbed,n_disagree,flooded_all,flooded_rule,flooded_both_confident,ratio,events_w,events_l,sign_p,fitted,margin,always_a,always_b,coin,gain_over_margin,share_believe_b,tiles_w,tiles_l
geoid change,GEOID-Flood test events,29392,0.26935900925421885,0.7975995635570103,0.5163893921923901,2.9611022321671903,11,8,0.3238029479980469,,,,,,,,,
offsets,bolivia,2458,,,,,,,1.6368276225674336e-18,0.6358828315703824,0.5134255492270138,0.38974776240846215,0.6102522375915378,0.5,0.12245728234336861,0.36655817737998375,162,41
offsets,test,3852,,,,,,,1.785837440783914e-15,0.680944963655244,0.582294911734164,0.4984423676012461,0.5015576323987538,0.5,0.09865005192108,0.495067497403946,223,86
backbones,bolivia,2850,,,,,,,5.964816244424546e-10,0.6975438596491228,0.5596491228070175,0.5533333333333333,0.44666666666666666,0.5,0.1378947368421053,0.23614035087719298,170,75
backbones,test,2971,,,,,,,5.41108929738157e-07,0.6523056210030292,0.5772467182766745,0.47391450690003367,0.5260854930999663,0.5,0.07505890272635474,0.5378660383709188,177,96
sensors,bolivia,7761,,,,,,,0.04945400533846524,0.7316067517072542,0.6821285916763303,0.6733668341708543,0.32663316582914576,0.5,0.04947816003092387,0.08632908130395568,148,120
sensors,test,12535,,,,,,,1.9728233200349036e-29,0.864379736737136,0.6980454726765057,0.8422018348623853,0.1577981651376147,0.5,0.16633426406063023,0.0727562824092541,305,88
finetune,bolivia,5038,,,,,,,0.9999999994953509,0.3531163159984121,0.6089718142119889,0.24196109567288607,0.758038904327114,0.5,-0.2558554982135768,0.23025009924573242,71,162
finetune,test,3922,,,,,,,0.005013530438969722,0.5423253442121366,0.5573686894441612,0.2817440081591025,0.7182559918408975,0.5,-0.015043345232024552,0.4818969913309536,155,112
