scene,n_errors,signal,aurc,eaurc,diff_vs_baseline,diff_ci_lo,diff_ci_hi,frac_better
rovuma_50,74,E_case,0.009138636281245288,0.00642692667402093,-0.0007361895379640014,-0.0065207765672320684,0.0010713646471307936,0.823
rovuma_50,74,tile-phase (aligned),0.008001782233146655,0.005290072625922297,-0.0018730435860626338,-0.00859526912794349,0.0010270253288211652,0.897
rovuma_50,74,"tile-phase (unaligned, exp11)",0.009735199138391827,0.007023489531167469,-0.00013962668081746177,-0.006504513508470503,0.0024873420333028345,0.679
rovuma_50,74,E_dist,0.01521823146507256,0.012506521857848202,0.005343405645863271,-0.0015207353703661354,0.010010396500416699,0.074
rovuma_50,74,control,0.015957103767208505,0.013245394159984148,0.006082277947999217,-0.003997733883262941,0.016014059677906298,0.177
rovuma_80,18,baseline,0.001524572296540396,0.0013605835206861102,,,,
rovuma_80,18,E_case,0.00302860922596938,0.0028646204501150945,0.0015040369294289843,-0.0006869978960595496,0.004943084951446235,0.214
rovuma_80,18,tile-phase (aligned),0.0010411187223022865,0.0008771299464480006,-0.00048345357423810954,-0.0018731270619733664,0.0002522877065324465,0.83
rovuma_80,18,"tile-phase (unaligned, exp11)",0.0010203815241139154,0.0008563927482596295,-0.0005041907724264807,-0.0015376528836745433,0.0001297739496394185,0.917
rovuma_80,18,E_dist,0.0014470357633945155,0.0012830469875402296,-7.753653314588054e-05,-0.002032650272329265,0.0013988674558164968,0.506
rovuma_80,18,control,0.0006240390818235957,0.0004600503059693098,-0.0009005332147168003,-0.002843129418064728,4.060529156860768e-05,0.953
save_20,25,baseline,0.016201234457011496,0.015888838867227445,,,,
save_20,25,E_case,0.06194531612410448,0.06163292053432043,0.045744081667092984,0.014820358976988886,0.07497777902643293,0.0
save_20,25,tile-phase (aligned),0.0004691781180368962,0.00015678252825284523,-0.0157320563389746,-0.039049359500450395,-0.0030393137384113976,1.0
save_20,25,"tile-phase (unaligned, exp11)",0.0007017800440230638,0.00038938445423901283,-0.015499454412988433,-0.03855087560848553,-0.002925910573600947,1.0
save_20,25,E_dist,0.0004674858521315792,0.00015509026234752823,-0.015733748604879916,-0.039231197068743694,-0.002998429159620186,1.0
save_20,25,control,0.004027876678942452,0.0037154810891584012,-0.012173357778069044,-0.03681285047864638,0.002477085468834619,0.941
