testbed,encoder,head_accuracy,n_tiles_scored,pooled_eaurc confidence,pooled_eaurc tile-phase,pooled_eaurc boundary indicator,pooled_eaurc control NDWI gradient,pooled_eaurc control S2 patch variance,pooled_eaurc control NDWI level,"pooled_eaurc boundary first, then confidence",R2_capture10_lex,R2_capture10_conf,R3 boundary,R3 low_confidence,R3 unstable,R3 ndwi_ambiguous,R4_acc_W0,R4_acc_W1,D2_mean_tile_phase
bolivia,v1_2,0.9061768149882904,353,0.014606783763830728,0.013841369984651868,0.03026847662614917,0.040868618409110574,0.06830355455779073,0.011854686159035741,0.021320719143095655,0.4611284451378055,0.4234269370774831,3.3174510805966086,3.219709462062693,3.3269564975936725,7.099297305225543,0.8956621243669937,0.9066640138549068,0.04929184541106224
test,v1_2,0.9534449351510814,495,0.0058713777597659824,0.007868817503430171,0.01591304515030488,0.026893064253601336,0.031118653102726726,0.011423967362462747,0.010889557350628859,0.6624171978502688,0.6586676665416823,4.081978519367394,3.666101475617939,3.5599977565726326,4.923009890929009,0.9419976952567106,0.9515931119371526,0.03434528782963753
