part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,bank_scenes,primary_used,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,24,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,barotse,1024,98,contradiction (OlmoEarth neighbours),0.017239844703699398,0.012460074724363921,0.076171875,0.051245562501629885,-0.004401660783904009,-0.009325938439329672,0.022007054939184884,24,contradiction (AnySat local neighbours),0.4992183652441299,0.5546778625981432,0.4776585101060827,0.23578567170059783,,,,,,,,,,
A,barotse,1024,98,entropy (OlmoEarth neighbours),0.03334650742349782,0.02856673744416234,0.10411412404849776,0.03513889978183146,-0.02050832350370243,-0.025432601159128092,0.005900392219386465,24,contradiction (AnySat local neighbours),0.4522454162195948,0.5144420726676858,0.40942539239276027,0.2463053384381105,,,,,,,,,,
A,barotse,1024,98,contradiction (pixel-statistics neighbours),0.013955859886249668,0.009176089906914191,0.1231689453125,0.05452954731907961,-0.0011176759664542797,-0.006041953621879942,0.025291039756634614,24,contradiction (AnySat local neighbours),0.29936541340970196,0.39515156226368714,0.4004162167269817,0.3802943476933625,,,,,,,,,,
A,barotse,1024,98,contradiction (AnySat local neighbours),0.005975073162527009,0.0011953031831915331,0.08746337890625,0.06251033404280226,0.006863110757268379,0.0019388331018427166,0.03327182648035727,24,contradiction (AnySat local neighbours),0.23380543019463554,0.39799164463553055,0.4847396615296733,0.27939896858242985,,,,,,,,,,
A,barotse,1024,98,entropy (AnySat local neighbours),0.05992970831620616,0.05514993833687068,0.05632098463427533,0.008555698889123123,-0.04709152439641077,-0.05201580205183643,-0.020682808673321874,24,contradiction (AnySat local neighbours),0.05851524317713442,0.21765160706779446,0.25381839750801216,0.2251926794926609,,,,,,,,,,
A,barotse,1024,98,"contradiction (AnySat context neighbours, secondary)",0.005038812271257236,0.00025904229192175946,0.33984375,0.06344659493407204,0.007799371648538152,0.0028750939931124903,0.03420808737162705,24,contradiction (AnySat local neighbours),0.13058871652830456,0.24373028450493897,0.352481456498529,0.07912273488487491,,,,,,,,,,
A,barotse,1024,98,combination conf+AnySat contradiction (prereg),0.018710295940440755,0.013930525961105278,0.5,0.049775111264888525,-0.005872112020645366,-0.010796389676071029,0.020536603702443527,24,contradiction (AnySat local neighbours),0.9020276246346673,0.8011518054033968,0.579838597592563,0.16550931467300795,,,,,,,,,,
A,barotse,1024,98,weighted 0.75 conf + 0.25 contradiction (secondary),0.036913587825013215,0.03213381784567774,0.5,0.031571819380316064,-0.024075403905217826,-0.02899968156064349,0.002333311817871067,24,contradiction (AnySat local neighbours),0.9832899666273645,0.8098986060288954,0.5476942562724574,0.10201339994948733,,,,,,,,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.0023018940301927785,-11.007868766784668,0.0,-0.001014806102845183,0.0009136822816946458,0.005746448130515675,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.0012870879273475955,0.044724094290610236,0.001014806102845183,0.0,0.0019284883845398287,0.006761254233360858,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.0032155763118874242,0.089111328125,-0.0009136822816946458,-0.0019284883845398287,0.0,0.004832765848821029,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.008048342160708453,0.027005727284564577,-0.005746448130515675,-0.006761254233360858,-0.004832765848821029,0.0,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0466646078509389,0.0,-0.04436271382074612,-0.045377519923591306,-0.043449031539051476,-0.038616265690230446,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.012382725756712017,81.56912360161513,-0.010080831726519239,-0.011095637829364421,-0.009167149444824593,-0.004334383596003563,28,contradiction (AnySat local neighbours),,,,,,,,,,,,,,
